cod_provincia,valor
02,22.9
03,96.1
04,39.2
01,7.1
33,42.1
05,7.8
06,36.2
07,51.8
08,273.1
48,34
09,13.1
10,16.2
11,84.6
39,19.3
12,38.8
13,22.4
14,45.3
15,37.8
16,7.3
20,11.4
17,34.9
18,54.4
19,8.5
21,22.8
22,5.7
23,26.8
24,16.8
25,13.3
27,7.2
28,269.4
29,100.5
30,63.6
31,12
32,12.3
34,6.6
35,92.7
36,36.5
26,10
37,12.9
38,70.9
40,4.4
41,107.7
42,2
43,31.8
44,2.8
45,31.6
46,143.6
47,18.8
49,6.9
50,32.4
51,5.3
52,5.1
