cod_provincia,valor
02,22.3
03,118.8
04,14.7
01,38.5
33,60.6
05,7
06,32.1
07,29.4
08,461
48,83
09,37.7
10,16.3
11,41.8
39,39.5
12,52.1
13,31.2
14,32.6
15,64.5
16,15.3
20,73.2
17,71.8
18,29.4
19,19.3
21,22.1
22,13
23,24.5
24,24.5
25,28.9
27,14.8
28,291.7
29,26.6
30,80.7
31,75.8
32,19.6
34,11.2
35,24.7
36,73.6
26,36.1
37,17.3
38,22.8
40,7.6
41,73
42,8.9
43,58.6
44,11.3
45,50.4
46,176.7
47,36.4
49,8.5
50,75.7
51,1
52,0.8
