cod_provincia,valor
02,114.4
03,512.4
04,195.1
01,99.3
33,320.5
05,46.2
06,182.6
07,421.8
08,1867.1
48,392.7
09,108.2
10,101.3
11,361.3
39,187.4
12,169
13,131.8
14,210.2
15,365
16,49.3
20,221.4
17,238.7
18,259.5
19,86.4
21,142.2
22,69
23,157.1
24,138.7
25,129.3
27,89.8
28,2636.5
29,527.6
30,410.6
31,186.6
32,87.1
34,44.3
35,400.8
36,269.2
26,87.4
37,107.2
38,371.8
40,47.2
41,595.7
42,24.8
43,246
44,36.2
45,197.1
46,828.6
47,176.3
49,46.9
50,313.2
51,27.7
52,25.7
