cod_provincia,valor
02,10.9
03,22.4
04,71.7
01,2.9
33,18.8
05,7.1
06,34.6
07,7.1
08,20.1
48,6.4
09,10.4
10,15.2
11,18.2
39,8.7
12,8.9
13,20.1
14,62.4
15,26.8
16,10.4
20,4.4
17,12.3
18,49.8
19,5.2
21,35.7
22,11
23,65.9
24,8.4
25,21.9
27,29.2
28,5.6
29,18.3
30,94.3
31,14
32,8.8
34,5.4
35,12.9
36,25.1
26,6.1
37,8.1
38,15.8
40,6.5
41,56.7
42,3.5
43,19
44,8
45,13.1
46,34.5
47,15.9
49,8.7
50,15.6
51,0.2
52,0
