,ds_provincia,cod_provincia,value,anio,trimestre,sector
2586,Salamanca,37,110.6,2010,2,Servicios
2587,Santa Cruz de Tenerife,38,328.9,2010,2,Servicios
2588,Segovia,40,49.2,2010,2,Servicios
2589,Sevilla,41,600.0,2010,2,Servicios
2590,Soria,42,26.2,2010,2,Servicios
2591,Tarragona,43,249.9,2010,2,Servicios
2592,Teruel,44,34.6,2010,2,Servicios
2593,Toledo,45,196.8,2010,2,Servicios
2594,Valencia/ValÃ¨ncia,46,808.0,2010,2,Servicios
2595,Valladolid,47,174.3,2010,2,Servicios
2596,Zamora,49,47.9,2010,2,Servicios
2597,Zaragoza,50,294.6,2010,2,Servicios
2598,Ceuta,51,25.6,2010,2,Servicios
2599,Melilla,52,22.3,2010,2,Servicios
2600,Albacete,2,14.5,2010,3,Agricultura
2601,Alicante/Alacant,3,24.2,2010,3,Agricultura
2602,AlmerÃ­a,4,70.9,2010,3,Agricultura
2603,Araba/Ã�lava,1,2.6,2010,3,Agricultura
2604,Asturias,33,15.0,2010,3,Agricultura
2605,Ã�vila,5,7.6,2010,3,Agricultura
2606,Badajoz,6,37.3,2010,3,Agricultura
2607,"Balears, Illes",7,5.3,2010,3,Agricultura
2608,Barcelona,8,25.1,2010,3,Agricultura
2609,Bizkaia,48,5.2,2010,3,Agricultura
2610,Burgos,9,7.9,2010,3,Agricultura
2611,CÃ¡ceres,10,16.1,2010,3,Agricultura
2612,CÃ¡diz,11,16.7,2010,3,Agricultura
2613,Cantabria,39,7.5,2010,3,Agricultura
2614,CastellÃ³n/CastellÃ³,12,11.9,2010,3,Agricultura
2615,Ciudad Real,13,20.2,2010,3,Agricultura
2616,CÃ³rdoba,14,47.6,2010,3,Agricultura
2617,"CoruÃ±a, A",15,28.4,2010,3,Agricultura
2618,Cuenca,16,10.0,2010,3,Agricultura
2619,Gipuzkoa,20,3.7,2010,3,Agricultura
2620,Girona,17,13.9,2010,3,Agricultura
2621,Granada,18,40.5,2010,3,Agricultura
2622,Guadalajara,19,5.8,2010,3,Agricultura
2623,Huelva,21,30.8,2010,3,Agricultura
2624,Huesca,22,17.0,2010,3,Agricultura
2625,JaÃ©n,23,41.0,2010,3,Agricultura
2626,LeÃ³n,24,10.6,2010,3,Agricultura
2627,Lleida,25,22.8,2010,3,Agricultura
2628,Lugo,27,31.6,2010,3,Agricultura
2629,Madrid,28,6.3,2010,3,Agricultura
2630,MÃ¡laga,29,16.9,2010,3,Agricultura
2631,Murcia,30,83.1,2010,3,Agricultura
2632,Navarra,31,13.8,2010,3,Agricultura
2633,Ourense,32,10.7,2010,3,Agricultura
2634,Palencia,34,4.2,2010,3,Agricultura
2635,"Palmas, Las",35,11.4,2010,3,Agricultura
2636,Pontevedra,36,24.3,2010,3,Agricultura
2637,"Rioja, La",26,6.5,2010,3,Agricultura
2638,Salamanca,37,6.1,2010,3,Agricultura
2639,Santa Cruz de Tenerife,38,23.2,2010,3,Agricultura
2640,Segovia,40,5.0,2010,3,Agricultura
2641,Sevilla,41,50.4,2010,3,Agricultura
2642,Soria,42,3.7,2010,3,Agricultura
2643,Tarragona,43,21.7,2010,3,Agricultura
2644,Teruel,44,6.6,2010,3,Agricultura
2645,Toledo,45,13.1,2010,3,Agricultura
2646,Valencia/ValÃ¨ncia,46,34.6,2010,3,Agricultura
2647,Valladolid,47,15.0,2010,3,Agricultura
2648,Zamora,49,10.5,2010,3,Agricultura
2649,Zaragoza,50,19.3,2010,3,Agricultura
2650,Ceuta,51,0.0,2010,3,Agricultura
2651,Melilla,52,0.0,2010,3,Agricultura
2652,Albacete,2,15.9,2010,3,Construccion
2653,Alicante/Alacant,3,90.1,2010,3,Construccion
2654,AlmerÃ­a,4,28.3,2010,3,Construccion
2655,Araba/Ã�lava,1,13.0,2010,3,Construccion
2656,Asturias,33,46.8,2010,3,Construccion
2657,Ã�vila,5,13.0,2010,3,Construccion
2658,Badajoz,6,27.5,2010,3,Construccion
2659,"Balears, Illes",7,62.6,2010,3,Construccion
2660,Barcelona,8,228.1,2010,3,Construccion
2661,Bizkaia,48,48.4,2010,3,Construccion
2662,Burgos,9,16.4,2010,3,Construccion
2663,CÃ¡ceres,10,25.3,2010,3,Construccion
2664,CÃ¡diz,11,53.0,2010,3,Construccion
2665,Cantabria,39,26.0,2010,3,Construccion
2666,CastellÃ³n/CastellÃ³,12,28.7,2010,3,Construccion
2667,Ciudad Real,13,32.9,2010,3,Construccion
2668,CÃ³rdoba,14,32.0,2010,3,Construccion
2669,"CoruÃ±a, A",15,53.7,2010,3,Construccion
2670,Cuenca,16,11.1,2010,3,Construccion
2671,Gipuzkoa,20,21.9,2010,3,Construccion
2672,Girona,17,42.6,2010,3,Construccion
2673,Granada,18,35.4,2010,3,Construccion
2674,Guadalajara,19,12.8,2010,3,Construccion
2675,Huelva,21,23.3,2010,3,Construccion
2676,Huesca,22,12.9,2010,3,Construccion
2677,JaÃ©n,23,27.4,2010,3,Construccion
2678,LeÃ³n,24,20.8,2010,3,Construccion
2679,Lleida,25,23.4,2010,3,Construccion
2680,Lugo,27,16.0,2010,3,Construccion
2681,Madrid,28,262.7,2010,3,Construccion
2682,MÃ¡laga,29,93.9,2010,3,Construccion
2683,Murcia,30,75.5,2010,3,Construccion
2684,Navarra,31,25.6,2010,3,Construccion
2685,Ourense,32,15.4,2010,3,Construccion
2686,Palencia,34,6.6,2010,3,Construccion
2687,"Palmas, Las",35,50.7,2010,3,Construccion
2688,Pontevedra,36,37.6,2010,3,Construccion
2689,"Rioja, La",26,15.7,2010,3,Construccion
2690,Salamanca,37,11.4,2010,3,Construccion
2691,Santa Cruz de Tenerife,38,45.0,2010,3,Construccion
2692,Segovia,40,8.1,2010,3,Construccion
2693,Sevilla,41,71.6,2010,3,Construccion
2694,Soria,42,5.0,2010,3,Construccion
2695,Tarragona,43,46.7,2010,3,Construccion
2696,Teruel,44,8.6,2010,3,Construccion
2697,Toledo,45,43.3,2010,3,Construccion
2698,Valencia/ValÃ¨ncia,46,121.5,2010,3,Construccion
2699,Valladolid,47,26.3,2010,3,Construccion
2700,Zamora,49,10.2,2010,3,Construccion
2701,Zaragoza,50,46.2,2010,3,Construccion
2702,Ceuta,51,3.9,2010,3,Construccion
2703,Melilla,52,2.7,2010,3,Construccion
2704,Albacete,2,25.7,2010,3,Industria
2705,Alicante/Alacant,3,117.7,2010,3,Industria
2706,AlmerÃ­a,4,13.2,2010,3,Industria
2707,Araba/Ã�lava,1,44.6,2010,3,Industria
2708,Asturias,33,64.1,2010,3,Industria
2709,Ã�vila,5,6.8,2010,3,Industria
2710,Badajoz,6,26.3,2010,3,Industria
2711,"Balears, Illes",7,40.7,2010,3,Industria
2712,Barcelona,8,523.1,2010,3,Industria
2713,Bizkaia,48,92.5,2010,3,Industria
2714,Burgos,9,39.4,2010,3,Industria
2715,CÃ¡ceres,10,15.6,2010,3,Industria
2716,CÃ¡diz,11,50.5,2010,3,Industria
2717,Cantabria,39,40.3,2010,3,Industria
2718,CastellÃ³n/CastellÃ³,12,55.9,2010,3,Industria
2719,Ciudad Real,13,30.7,2010,3,Industria
2720,CÃ³rdoba,14,43.0,2010,3,Industria
2721,"CoruÃ±a, A",15,70.4,2010,3,Industria
2722,Cuenca,16,10.8,2010,3,Industria
2723,Gipuzkoa,20,85.8,2010,3,Industria
2724,Girona,17,66.2,2010,3,Industria
2725,Granada,18,31.5,2010,3,Industria
2726,Guadalajara,19,20.0,2010,3,Industria
2727,Huelva,21,18.5,2010,3,Industria
2728,Huesca,22,14.4,2010,3,Industria
2729,JaÃ©n,23,29.6,2010,3,Industria
2730,LeÃ³n,24,32.0,2010,3,Industria
2731,Lleida,25,29.8,2010,3,Industria
2732,Lugo,27,16.1,2010,3,Industria
2733,Madrid,28,281.4,2010,3,Industria
2734,MÃ¡laga,29,29.9,2010,3,Industria
2735,Murcia,30,81.8,2010,3,Industria
2736,Navarra,31,75.4,2010,3,Industria
2737,Ourense,32,20.2,2010,3,Industria
2738,Palencia,34,13.4,2010,3,Industria
2739,"Palmas, Las",35,25.7,2010,3,Industria
2740,Pontevedra,36,85.1,2010,3,Industria
2741,"Rioja, La",26,38.7,2010,3,Industria
2742,Salamanca,37,17.1,2010,3,Industria
2743,Santa Cruz de Tenerife,38,25.1,2010,3,Industria
2744,Segovia,40,11.6,2010,3,Industria
2745,Sevilla,41,79.8,2010,3,Industria
2746,Soria,42,8.4,2010,3,Industria
2747,Tarragona,43,64.9,2010,3,Industria
2748,Teruel,44,11.8,2010,3,Industria
2749,Toledo,45,50.2,2010,3,Industria
2750,Valencia/ValÃ¨ncia,46,183.3,2010,3,Industria
2751,Valladolid,47,33.6,2010,3,Industria
2752,Zamora,49,9.0,2010,3,Industria
2753,Zaragoza,50,91.1,2010,3,Industria
2754,Ceuta,51,1.3,2010,3,Industria
2755,Melilla,52,0.3,2010,3,Industria
2756,Albacete,2,24.6,2010,3,ParadosActivos
2757,Alicante/Alacant,3,112.6,2010,3,ParadosActivos
2758,AlmerÃ­a,4,37.6,2010,3,ParadosActivos
2759,Araba/Ã�lava,1,7.8,2010,3,ParadosActivos
2760,Asturias,33,36.2,2010,3,ParadosActivos
2761,Ã�vila,5,7.8,2010,3,ParadosActivos
2762,Badajoz,6,35.5,2010,3,ParadosActivos
2763,"Balears, Illes",7,51.8,2010,3,ParadosActivos
2764,Barcelona,8,288.3,2010,3,ParadosActivos
2765,Bizkaia,48,31.7,2010,3,ParadosActivos
2766,Burgos,9,13.2,2010,3,ParadosActivos
2767,CÃ¡ceres,10,17.8,2010,3,ParadosActivos
2768,CÃ¡diz,11,89.2,2010,3,ParadosActivos
2769,Cantabria,39,18.1,2010,3,ParadosActivos
2770,CastellÃ³n/CastellÃ³,12,36.6,2010,3,ParadosActivos
2771,Ciudad Real,13,20.7,2010,3,ParadosActivos
2772,CÃ³rdoba,14,45.4,2010,3,ParadosActivos
2773,"CoruÃ±a, A",15,39.4,2010,3,ParadosActivos
2774,Cuenca,16,8.2,2010,3,ParadosActivos
2775,Gipuzkoa,20,12.8,2010,3,ParadosActivos
2776,Girona,17,33.8,2010,3,ParadosActivos
2777,Granada,18,56.8,2010,3,ParadosActivos
2778,Guadalajara,19,10.1,2010,3,ParadosActivos
2779,Huelva,21,26.3,2010,3,ParadosActivos
2780,Huesca,22,6.0,2010,3,ParadosActivos
2781,JaÃ©n,23,27.4,2010,3,ParadosActivos
2782,LeÃ³n,24,16.5,2010,3,ParadosActivos
2783,Lleida,25,13.1,2010,3,ParadosActivos
2784,Lugo,27,8.5,2010,3,ParadosActivos
2785,Madrid,28,267.3,2010,3,ParadosActivos
2786,MÃ¡laga,29,105.8,2010,3,ParadosActivos
2787,Murcia,30,82.2,2010,3,ParadosActivos
2788,Navarra,31,16.2,2010,3,ParadosActivos
2789,Ourense,32,11.6,2010,3,ParadosActivos
2790,Palencia,34,7.7,2010,3,ParadosActivos
2791,"Palmas, Las",35,91.3,2010,3,ParadosActivos
2792,Pontevedra,36,41.7,2010,3,ParadosActivos
2793,"Rioja, La",26,12.3,2010,3,ParadosActivos
2794,Salamanca,37,12.7,2010,3,ParadosActivos
2795,Santa Cruz de Tenerife,38,71.9,2010,3,ParadosActivos
2796,Segovia,40,4.2,2010,3,ParadosActivos
2797,Sevilla,41,120.2,2010,3,ParadosActivos
2798,Soria,42,1.8,2010,3,ParadosActivos
2799,Tarragona,43,35.7,2010,3,ParadosActivos
2800,Teruel,44,4.5,2010,3,ParadosActivos
2801,Toledo,45,32.4,2010,3,ParadosActivos
2802,Valencia/ValÃ¨ncia,46,127.4,2010,3,ParadosActivos
2803,Valladolid,47,22.0,2010,3,ParadosActivos
2804,Zamora,49,6.8,2010,3,ParadosActivos
2805,Zaragoza,50,33.1,2010,3,ParadosActivos
2806,Ceuta,51,4.8,2010,3,ParadosActivos
2807,Melilla,52,5.0,2010,3,ParadosActivos
2808,Albacete,2,113.8,2010,3,Servicios
2809,Alicante/Alacant,3,564.9,2010,3,Servicios
2810,AlmerÃ­a,4,200.7,2010,3,Servicios
2811,Araba/Ã�lava,1,94.3,2010,3,Servicios
2812,Asturias,33,329.7,2010,3,Servicios
2813,Ã�vila,5,41.8,2010,3,Servicios
2814,Badajoz,6,195.3,2010,3,Servicios
2815,"Balears, Illes",7,459.1,2010,3,Servicios
2816,Barcelona,8,1871.4,2010,3,Servicios
2817,Bizkaia,48,386.3,2010,3,Servicios
2818,Burgos,9,106.9,2010,3,Servicios
2819,CÃ¡ceres,10,103.7,2010,3,Servicios
2820,CÃ¡diz,11,368.1,2010,3,Servicios
2821,Cantabria,39,187.9,2010,3,Servicios
2822,CastellÃ³n/CastellÃ³,12,173.1,2010,3,Servicios
2823,Ciudad Real,13,138.8,2010,3,Servicios
2824,CÃ³rdoba,14,211.7,2010,3,Servicios
2825,"CoruÃ±a, A",15,354.0,2010,3,Servicios
2826,Cuenca,16,58.2,2010,3,Servicios
2827,Gipuzkoa,20,222.8,2010,3,Servicios
2828,Girona,17,249.9,2010,3,Servicios
2829,Granada,18,260.6,2010,3,Servicios
2830,Guadalajara,19,82.6,2010,3,Servicios
2831,Huelva,21,147.6,2010,3,Servicios
2832,Huesca,22,60.2,2010,3,Servicios
2833,JaÃ©n,23,167.6,2010,3,Servicios
2834,LeÃ³n,24,143.4,2010,3,Servicios
2835,Lleida,25,124.7,2010,3,Servicios
2836,Lugo,27,92.3,2010,3,Servicios
2837,Madrid,28,2664.2,2010,3,Servicios
2838,MÃ¡laga,29,528.1,2010,3,Servicios
2839,Murcia,30,408.4,2010,3,Servicios
2840,Navarra,31,187.8,2010,3,Servicios
2841,Ourense,32,83.9,2010,3,Servicios
2842,Palencia,34,50.3,2010,3,Servicios
2843,"Palmas, Las",35,370.4,2010,3,Servicios
2844,Pontevedra,36,276.7,2010,3,Servicios
2845,"Rioja, La",26,89.2,2010,3,Servicios
2846,Salamanca,37,111.7,2010,3,Servicios
2847,Santa Cruz de Tenerife,38,345.1,2010,3,Servicios
2848,Segovia,40,51.9,2010,3,Servicios
2849,Sevilla,41,595.3,2010,3,Servicios
2850,Soria,42,27.8,2010,3,Servicios
2851,Tarragona,43,250.8,2010,3,Servicios
2852,Teruel,44,34.1,2010,3,Servicios
2853,Toledo,45,191.8,2010,3,Servicios
2854,Valencia/ValÃ¨ncia,46,815.9,2010,3,Servicios
2855,Valladolid,47,173.2,2010,3,Servicios
2856,Zamora,49,49.2,2010,3,Servicios
2857,Zaragoza,50,291.4,2010,3,Servicios
2858,Ceuta,51,24.8,2010,3,Servicios
2859,Melilla,52,23.8,2010,3,Servicios
2860,Albacete,2,14.2,2010,4,Agricultura
2861,Alicante/Alacant,3,18.5,2010,4,Agricultura
2862,AlmerÃ­a,4,76.3,2010,4,Agricultura
2863,Araba/Ã�lava,1,3.7,2010,4,Agricultura
2864,Asturias,33,15.0,2010,4,Agricultura
2865,Ã�vila,5,8.9,2010,4,Agricultura
2866,Badajoz,6,27.8,2010,4,Agricultura
2867,"Balears, Illes",7,5.3,2010,4,Agricultura
2868,Barcelona,8,18.8,2010,4,Agricultura
2869,Bizkaia,48,4.1,2010,4,Agricultura
2870,Burgos,9,12.6,2010,4,Agricultura
2871,CÃ¡ceres,10,17.6,2010,4,Agricultura
2872,CÃ¡diz,11,21.4,2010,4,Agricultura
2873,Cantabria,39,7.1,2010,4,Agricultura
2874,CastellÃ³n/CastellÃ³,12,13.5,2010,4,Agricultura
2875,Ciudad Real,13,18.3,2010,4,Agricultura
2876,CÃ³rdoba,14,55.0,2010,4,Agricultura
2877,"CoruÃ±a, A",15,29.3,2010,4,Agricultura
2878,Cuenca,16,13.6,2010,4,Agricultura
2879,Gipuzkoa,20,4.6,2010,4,Agricultura
2880,Girona,17,12.1,2010,4,Agricultura
2881,Granada,18,36.1,2010,4,Agricultura
2882,Guadalajara,19,3.1,2010,4,Agricultura
2883,Huelva,21,39.1,2010,4,Agricultura
2884,Huesca,22,14.7,2010,4,Agricultura
2885,JaÃ©n,23,52.3,2010,4,Agricultura
2886,LeÃ³n,24,10.2,2010,4,Agricultura
2887,Lleida,25,21.4,2010,4,Agricultura
2888,Lugo,27,30.2,2010,4,Agricultura
2889,Madrid,28,11.9,2010,4,Agricultura
2890,MÃ¡laga,29,19.5,2010,4,Agricultura
2891,Murcia,30,92.6,2010,4,Agricultura
2892,Navarra,31,12.4,2010,4,Agricultura
2893,Ourense,32,9.6,2010,4,Agricultura
2894,Palencia,34,3.4,2010,4,Agricultura
2895,"Palmas, Las",35,11.5,2010,4,Agricultura
2896,Pontevedra,36,24.5,2010,4,Agricultura
2897,"Rioja, La",26,8.1,2010,4,Agricultura
2898,Salamanca,37,7.1,2010,4,Agricultura
2899,Santa Cruz de Tenerife,38,17.8,2010,4,Agricultura
2900,Segovia,40,5.0,2010,4,Agricultura
2901,Sevilla,41,57.0,2010,4,Agricultura
2902,Soria,42,3.2,2010,4,Agricultura
2903,Tarragona,43,22.6,2010,4,Agricultura
2904,Teruel,44,7.9,2010,4,Agricultura
2905,Toledo,45,12.8,2010,4,Agricultura
2906,Valencia/ValÃ¨ncia,46,30.7,2010,4,Agricultura
2907,Valladolid,47,10.1,2010,4,Agricultura
2908,Zamora,49,9.7,2010,4,Agricultura
2909,Zaragoza,50,19.0,2010,4,Agricultura
2910,Ceuta,51,0.0,2010,4,Agricultura
2911,Melilla,52,0.0,2010,4,Agricultura
2912,Albacete,2,12.2,2010,4,Construccion
2913,Alicante/Alacant,3,74.5,2010,4,Construccion
2914,AlmerÃ­a,4,26.9,2010,4,Construccion
2915,Araba/Ã�lava,1,9.5,2010,4,Construccion
2916,Asturias,33,46.5,2010,4,Construccion
2917,Ã�vila,5,11.1,2010,4,Construccion
2918,Badajoz,6,31.4,2010,4,Construccion
2919,"Balears, Illes",7,63.2,2010,4,Construccion
2920,Barcelona,8,204.1,2010,4,Construccion
2921,Bizkaia,48,46.3,2010,4,Construccion
2922,Burgos,9,16.8,2010,4,Construccion
2923,CÃ¡ceres,10,22.0,2010,4,Construccion
2924,CÃ¡diz,11,51.8,2010,4,Construccion
2925,Cantabria,39,25.8,2010,4,Construccion
2926,CastellÃ³n/CastellÃ³,12,28.6,2010,4,Construccion
2927,Ciudad Real,13,31.8,2010,4,Construccion
2928,CÃ³rdoba,14,29.1,2010,4,Construccion
2929,"CoruÃ±a, A",15,50.8,2010,4,Construccion
2930,Cuenca,16,11.0,2010,4,Construccion
2931,Gipuzkoa,20,20.9,2010,4,Construccion
2932,Girona,17,42.7,2010,4,Construccion
2933,Granada,18,37.8,2010,4,Construccion
2934,Guadalajara,19,13.2,2010,4,Construccion
2935,Huelva,21,21.8,2010,4,Construccion
2936,Huesca,22,9.9,2010,4,Construccion
2937,JaÃ©n,23,26.3,2010,4,Construccion
2938,LeÃ³n,24,20.4,2010,4,Construccion
2939,Lleida,25,23.7,2010,4,Construccion
2940,Lugo,27,16.9,2010,4,Construccion
2941,Madrid,28,237.2,2010,4,Construccion
2942,MÃ¡laga,29,86.6,2010,4,Construccion
2943,Murcia,30,69.3,2010,4,Construccion
2944,Navarra,31,26.7,2010,4,Construccion
2945,Ourense,32,15.2,2010,4,Construccion
2946,Palencia,34,5.8,2010,4,Construccion
2947,"Palmas, Las",35,52.9,2010,4,Construccion
2948,Pontevedra,36,34.3,2010,4,Construccion
2949,"Rioja, La",26,16.9,2010,4,Construccion
2950,Salamanca,37,11.2,2010,4,Construccion
2951,Santa Cruz de Tenerife,38,41.7,2010,4,Construccion
2952,Segovia,40,7.3,2010,4,Construccion
2953,Sevilla,41,73.6,2010,4,Construccion
2954,Soria,42,4.3,2010,4,Construccion
2955,Tarragona,43,44.8,2010,4,Construccion
2956,Teruel,44,7.6,2010,4,Construccion
2957,Toledo,45,43.9,2010,4,Construccion
2958,Valencia/ValÃ¨ncia,46,119.6,2010,4,Construccion
2959,Valladolid,47,27.8,2010,4,Construccion
2960,Zamora,49,7.9,2010,4,Construccion
2961,Zaragoza,50,41.8,2010,4,Construccion
2962,Ceuta,51,2.4,2010,4,Construccion
2963,Melilla,52,2.3,2010,4,Construccion
2964,Albacete,2,25.7,2010,4,Industria
2965,Alicante/Alacant,3,120.2,2010,4,Industria
2966,AlmerÃ­a,4,16.3,2010,4,Industria
2967,Araba/Ã�lava,1,49.5,2010,4,Industria
2968,Asturias,33,61.7,2010,4,Industria
2969,Ã�vila,5,6.5,2010,4,Industria
2970,Badajoz,6,28.7,2010,4,Industria
2971,"Balears, Illes",7,42.7,2010,4,Industria
2972,Barcelona,8,511.0,2010,4,Industria
2973,Bizkaia,48,93.0,2010,4,Industria
2974,Burgos,9,37.7,2010,4,Industria
2975,CÃ¡ceres,10,17.0,2010,4,Industria
2976,CÃ¡diz,11,48.5,2010,4,Industria
2977,Cantabria,39,40.5,2010,4,Industria
2978,CastellÃ³n/CastellÃ³,12,53.9,2010,4,Industria
2979,Ciudad Real,13,29.6,2010,4,Industria
2980,CÃ³rdoba,14,43.8,2010,4,Industria
2981,"CoruÃ±a, A",15,69.5,2010,4,Industria
2982,Cuenca,16,10.4,2010,4,Industria
2983,Gipuzkoa,20,81.3,2010,4,Industria
2984,Girona,17,67.1,2010,4,Industria
2985,Granada,18,32.3,2010,4,Industria
2986,Guadalajara,19,19.7,2010,4,Industria
2987,Huelva,21,19.2,2010,4,Industria
2988,Huesca,22,14.9,2010,4,Industria
2989,JaÃ©n,23,28.0,2010,4,Industria
2990,LeÃ³n,24,29.9,2010,4,Industria
2991,Lleida,25,28.5,2010,4,Industria
2992,Lugo,27,15.8,2010,4,Industria
2993,Madrid,28,309.3,2010,4,Industria
2994,MÃ¡laga,29,29.3,2010,4,Industria
2995,Murcia,30,81.5,2010,4,Industria
2996,Navarra,31,71.8,2010,4,Industria
2997,Ourense,32,19.4,2010,4,Industria
2998,Palencia,34,13.7,2010,4,Industria
2999,"Palmas, Las",35,22.1,2010,4,Industria
3000,Pontevedra,36,79.4,2010,4,Industria
3001,"Rioja, La",26,37.4,2010,4,Industria
3002,Salamanca,37,16.8,2010,4,Industria
3003,Santa Cruz de Tenerife,38,24.7,2010,4,Industria
3004,Segovia,40,10.6,2010,4,Industria
3005,Sevilla,41,83.4,2010,4,Industria
3006,Soria,42,8.6,2010,4,Industria
3007,Tarragona,43,69.1,2010,4,Industria
3008,Teruel,44,11.7,2010,4,Industria
3009,Toledo,45,49.6,2010,4,Industria
3010,Valencia/ValÃ¨ncia,46,179.0,2010,4,Industria
3011,Valladolid,47,33.9,2010,4,Industria
3012,Zamora,49,9.0,2010,4,Industria
3013,Zaragoza,50,92.0,2010,4,Industria
3014,Ceuta,51,1.1,2010,4,Industria
3015,Melilla,52,0.3,2010,4,Industria
3016,Albacete,2,26.4,2010,4,ParadosActivos
3017,Alicante/Alacant,3,129.3,2010,4,ParadosActivos
3018,AlmerÃ­a,4,35.5,2010,4,ParadosActivos
3019,Araba/Ã�lava,1,9.1,2010,4,ParadosActivos
3020,Asturias,33,39.7,2010,4,ParadosActivos
3021,Ã�vila,5,7.5,2010,4,ParadosActivos
3022,Badajoz,6,39.6,2010,4,ParadosActivos
3023,"Balears, Illes",7,49.9,2010,4,ParadosActivos
3024,Barcelona,8,318.3,2010,4,ParadosActivos
3025,Bizkaia,48,40.5,2010,4,ParadosActivos
3026,Burgos,9,16.5,2010,4,ParadosActivos
3027,CÃ¡ceres,10,15.1,2010,4,ParadosActivos
3028,CÃ¡diz,11,95.4,2010,4,ParadosActivos
3029,Cantabria,39,19.9,2010,4,ParadosActivos
3030,CastellÃ³n/CastellÃ³,12,37.1,2010,4,ParadosActivos
3031,Ciudad Real,13,23.3,2010,4,ParadosActivos
3032,CÃ³rdoba,14,46.0,2010,4,ParadosActivos
3033,"CoruÃ±a, A",15,40.4,2010,4,ParadosActivos
3034,Cuenca,16,10.2,2010,4,ParadosActivos
3035,Gipuzkoa,20,13.2,2010,4,ParadosActivos
3036,Girona,17,32.0,2010,4,ParadosActivos
3037,Granada,18,56.1,2010,4,ParadosActivos
3038,Guadalajara,19,9.2,2010,4,ParadosActivos
3039,Huelva,21,29.4,2010,4,ParadosActivos
3040,Huesca,22,7.2,2010,4,ParadosActivos
3041,JaÃ©n,23,32.0,2010,4,ParadosActivos
3042,LeÃ³n,24,16.4,2010,4,ParadosActivos
3043,Lleida,25,15.5,2010,4,ParadosActivos
3044,Lugo,27,7.9,2010,4,ParadosActivos
3045,Madrid,28,291.5,2010,4,ParadosActivos
3046,MÃ¡laga,29,113.8,2010,4,ParadosActivos
3047,Murcia,30,86.6,2010,4,ParadosActivos
3048,Navarra,31,16.1,2010,4,ParadosActivos
3049,Ourense,32,12.0,2010,4,ParadosActivos
3050,Palencia,34,6.7,2010,4,ParadosActivos
3051,"Palmas, Las",35,94.6,2010,4,ParadosActivos
3052,Pontevedra,36,42.4,2010,4,ParadosActivos
3053,"Rioja, La",26,11.3,2010,4,ParadosActivos
3054,Salamanca,37,12.3,2010,4,ParadosActivos
3055,Santa Cruz de Tenerife,38,74.2,2010,4,ParadosActivos
3056,Segovia,40,4.0,2010,4,ParadosActivos
3057,Sevilla,41,117.4,2010,4,ParadosActivos
3058,Soria,42,2.1,2010,4,ParadosActivos
3059,Tarragona,43,41.6,2010,4,ParadosActivos
3060,Teruel,44,3.8,2010,4,ParadosActivos
3061,Toledo,45,40.5,2010,4,ParadosActivos
3062,Valencia/ValÃ¨ncia,46,140.5,2010,4,ParadosActivos
3063,Valladolid,47,20.5,2010,4,ParadosActivos
3064,Zamora,49,7.4,2010,4,ParadosActivos
3065,Zaragoza,50,40.3,2010,4,ParadosActivos
3066,Ceuta,51,5.9,2010,4,ParadosActivos
3067,Melilla,52,4.6,2010,4,ParadosActivos
3068,Albacete,2,118.0,2010,4,Servicios
3069,Alicante/Alacant,3,552.9,2010,4,Servicios
3070,AlmerÃ­a,4,203.2,2010,4,Servicios
3071,Araba/Ã�lava,1,94.7,2010,4,Servicios
3072,Asturias,33,324.0,2010,4,Servicios
3073,Ã�vila,5,42.6,2010,4,Servicios
3074,Badajoz,6,197.2,2010,4,Servicios
3075,"Balears, Illes",7,424.2,2010,4,Servicios
3076,Barcelona,8,1867.9,2010,4,Servicios
3077,Bizkaia,48,388.8,2010,4,Servicios
3078,Burgos,9,103.0,2010,4,Servicios
3079,CÃ¡ceres,10,105.3,2010,4,Servicios
3080,CÃ¡diz,11,354.6,2010,4,Servicios
3081,Cantabria,39,187.2,2010,4,Servicios
3082,CastellÃ³n/CastellÃ³,12,169.4,2010,4,Servicios
3083,Ciudad Real,13,139.9,2010,4,Servicios
3084,CÃ³rdoba,14,211.4,2010,4,Servicios
3085,"CoruÃ±a, A",15,357.0,2010,4,Servicios
3086,Cuenca,16,56.1,2010,4,Servicios
3087,Gipuzkoa,20,222.1,2010,4,Servicios
3088,Girona,17,245.9,2010,4,Servicios
3089,Granada,18,265.4,2010,4,Servicios
3090,Guadalajara,19,83.4,2010,4,Servicios
3091,Huelva,21,141.3,2010,4,Servicios
3092,Huesca,22,63.3,2010,4,Servicios
3093,JaÃ©n,23,164.5,2010,4,Servicios
3094,LeÃ³n,24,140.2,2010,4,Servicios
3095,Lleida,25,124.8,2010,4,Servicios
3096,Lugo,27,90.3,2010,4,Servicios
3097,Madrid,28,2658.6,2010,4,Servicios
3098,MÃ¡laga,29,514.8,2010,4,Servicios
3099,Murcia,30,406.7,2010,4,Servicios
3100,Navarra,31,190.4,2010,4,Servicios
3101,Ourense,32,86.8,2010,4,Servicios
3102,Palencia,34,51.4,2010,4,Servicios
3103,"Palmas, Las",35,370.1,2010,4,Servicios
3104,Pontevedra,36,268.5,2010,4,Servicios
3105,"Rioja, La",26,85.9,2010,4,Servicios
3106,Salamanca,37,109.5,2010,4,Servicios
