,ds_provincia,cod_provincia,value,anio,trimestre,sector
107,Araba/Ã�lava,1,51.1,2008,1,Industria
108,Asturias,33,72.7,2008,1,Industria
109,Ã�vila,5,10.7,2008,1,Industria
110,Badajoz,6,30.9,2008,1,Industria
111,"Balears, Illes",7,50.7,2008,1,Industria
112,Barcelona,8,646.4,2008,1,Industria
113,Bizkaia,48,104.1,2008,1,Industria
114,Burgos,9,42.0,2008,1,Industria
115,CÃ¡ceres,10,19.4,2008,1,Industria
116,CÃ¡diz,11,52.6,2008,1,Industria
117,Cantabria,39,52.9,2008,1,Industria
118,CastellÃ³n/CastellÃ³,12,70.4,2008,1,Industria
119,Ciudad Real,13,32.1,2008,1,Industria
120,CÃ³rdoba,14,41.3,2008,1,Industria
121,"CoruÃ±a, A",15,83.0,2008,1,Industria
122,Cuenca,16,16.2,2008,1,Industria
123,Gipuzkoa,20,98.7,2008,1,Industria
124,Girona,17,78.3,2008,1,Industria
125,Granada,18,36.0,2008,1,Industria
126,Guadalajara,19,19.8,2008,1,Industria
127,Huelva,21,24.4,2008,1,Industria
128,Huesca,22,22.3,2008,1,Industria
129,JaÃ©n,23,40.8,2008,1,Industria
130,LeÃ³n,24,28.8,2008,1,Industria
131,Lleida,25,32.6,2008,1,Industria
132,Lugo,27,21.7,2008,1,Industria
133,Madrid,28,356.7,2008,1,Industria
134,MÃ¡laga,29,55.4,2008,1,Industria
135,Murcia,30,105.4,2008,1,Industria
136,Navarra,31,83.2,2008,1,Industria
137,Ourense,32,28.9,2008,1,Industria
138,Palencia,34,14.9,2008,1,Industria
139,"Palmas, Las",35,29.6,2008,1,Industria
140,Pontevedra,36,95.9,2008,1,Industria
141,"Rioja, La",26,39.0,2008,1,Industria
142,Salamanca,37,18.5,2008,1,Industria
143,Santa Cruz de Tenerife,38,33.4,2008,1,Industria
144,Segovia,40,11.3,2008,1,Industria
145,Sevilla,41,88.2,2008,1,Industria
146,Soria,42,9.3,2008,1,Industria
147,Tarragona,43,79.9,2008,1,Industria
148,Teruel,44,13.6,2008,1,Industria
149,Toledo,45,61.8,2008,1,Industria
150,Valencia/ValÃ¨ncia,46,237.1,2008,1,Industria
151,Valladolid,47,44.7,2008,1,Industria
152,Zamora,49,12.3,2008,1,Industria
153,Zaragoza,50,107.1,2008,1,Industria
154,Ceuta,51,1.3,2008,1,Industria
155,Melilla,52,1.0,2008,1,Industria
156,Albacete,2,7.2,2008,1,ParadosActivos
157,Alicante/Alacant,3,32.7,2008,1,ParadosActivos
158,AlmerÃ­a,4,11.4,2008,1,ParadosActivos
159,Araba/Ã�lava,1,2.3,2008,1,ParadosActivos
160,Asturias,33,20.2,2008,1,ParadosActivos
161,Ã�vila,5,2.1,2008,1,ParadosActivos
162,Badajoz,6,14.0,2008,1,ParadosActivos
163,"Balears, Illes",7,13.3,2008,1,ParadosActivos
164,Barcelona,8,85.7,2008,1,ParadosActivos
165,Bizkaia,48,18.1,2008,1,ParadosActivos
166,Burgos,9,4.5,2008,1,ParadosActivos
167,CÃ¡ceres,10,9.3,2008,1,ParadosActivos
168,CÃ¡diz,11,37.9,2008,1,ParadosActivos
169,Cantabria,39,5.4,2008,1,ParadosActivos
170,CastellÃ³n/CastellÃ³,12,6.4,2008,1,ParadosActivos
171,Ciudad Real,13,9.4,2008,1,ParadosActivos
172,CÃ³rdoba,14,18.5,2008,1,ParadosActivos
173,"CoruÃ±a, A",15,20.1,2008,1,ParadosActivos
174,Cuenca,16,2.1,2008,1,ParadosActivos
175,Gipuzkoa,20,8.5,2008,1,ParadosActivos
176,Girona,17,15.4,2008,1,ParadosActivos
177,Granada,18,20.3,2008,1,ParadosActivos
178,Guadalajara,19,3.3,2008,1,ParadosActivos
179,Huelva,21,9.0,2008,1,ParadosActivos
180,Huesca,22,2.5,2008,1,ParadosActivos
181,JaÃ©n,23,10.6,2008,1,ParadosActivos
182,LeÃ³n,24,7.5,2008,1,ParadosActivos
183,Lleida,25,4.1,2008,1,ParadosActivos
184,Lugo,27,4.2,2008,1,ParadosActivos
185,Madrid,28,85.7,2008,1,ParadosActivos
186,MÃ¡laga,29,41.4,2008,1,ParadosActivos
187,Murcia,30,18.3,2008,1,ParadosActivos
188,Navarra,31,6.7,2008,1,ParadosActivos
189,Ourense,32,4.7,2008,1,ParadosActivos
190,Palencia,34,2.9,2008,1,ParadosActivos
191,"Palmas, Las",35,26.0,2008,1,ParadosActivos
192,Pontevedra,36,12.5,2008,1,ParadosActivos
193,"Rioja, La",26,3.8,2008,1,ParadosActivos
194,Salamanca,37,5.5,2008,1,ParadosActivos
195,Santa Cruz de Tenerife,38,25.9,2008,1,ParadosActivos
196,Segovia,40,2.2,2008,1,ParadosActivos
197,Sevilla,41,45.8,2008,1,ParadosActivos
198,Soria,42,1.2,2008,1,ParadosActivos
199,Tarragona,43,7.7,2008,1,ParadosActivos
200,Teruel,44,1.0,2008,1,ParadosActivos
201,Toledo,45,10.2,2008,1,ParadosActivos
202,Valencia/ValÃ¨ncia,46,30.1,2008,1,ParadosActivos
203,Valladolid,47,8.8,2008,1,ParadosActivos
204,Zamora,49,3.5,2008,1,ParadosActivos
205,Zaragoza,50,8.5,2008,1,ParadosActivos
206,Ceuta,51,2.1,2008,1,ParadosActivos
207,Melilla,52,3.6,2008,1,ParadosActivos
208,Albacete,2,114.1,2008,1,Servicios
209,Alicante/Alacant,3,536.8,2008,1,Servicios
210,AlmerÃ­a,4,176.3,2008,1,Servicios
211,Araba/Ã�lava,1,87.2,2008,1,Servicios
212,Asturias,33,320.0,2008,1,Servicios
213,Ã�vila,5,44.7,2008,1,Servicios
214,Badajoz,6,188.5,2008,1,Servicios
215,"Balears, Illes",7,382.9,2008,1,Servicios
216,Barcelona,8,1836.2,2008,1,Servicios
217,Bizkaia,48,358.8,2008,1,Servicios
218,Burgos,9,110.4,2008,1,Servicios
219,CÃ¡ceres,10,100.6,2008,1,Servicios
220,CÃ¡diz,11,355.6,2008,1,Servicios
221,Cantabria,39,174.3,2008,1,Servicios
222,CastellÃ³n/CastellÃ³,12,169.9,2008,1,Servicios
223,Ciudad Real,13,130.5,2008,1,Servicios
224,CÃ³rdoba,14,208.5,2008,1,Servicios
225,"CoruÃ±a, A",15,331.1,2008,1,Servicios
226,Cuenca,16,48.4,2008,1,Servicios
227,Gipuzkoa,20,216.1,2008,1,Servicios
228,Girona,17,223.0,2008,1,Servicios
229,Granada,18,251.5,2008,1,Servicios
230,Guadalajara,19,78.4,2008,1,Servicios
231,Huelva,21,134.0,2008,1,Servicios
232,Huesca,22,63.4,2008,1,Servicios
233,JaÃ©n,23,152.3,2008,1,Servicios
234,LeÃ³n,24,139.3,2008,1,Servicios
235,Lleida,25,128.9,2008,1,Servicios
236,Lugo,27,83.6,2008,1,Servicios
237,Madrid,28,2539.5,2008,1,Servicios
238,MÃ¡laga,29,495.3,2008,1,Servicios
239,Murcia,30,405.9,2008,1,Servicios
240,Navarra,31,175.2,2008,1,Servicios
241,Ourense,32,88.0,2008,1,Servicios
242,Palencia,34,42.8,2008,1,Servicios
243,"Palmas, Las",35,388.9,2008,1,Servicios
244,Pontevedra,36,270.8,2008,1,Servicios
245,"Rioja, La",26,90.7,2008,1,Servicios
246,Salamanca,37,107.5,2008,1,Servicios
247,Santa Cruz de Tenerife,38,321.5,2008,1,Servicios
248,Segovia,40,42.6,2008,1,Servicios
249,Sevilla,41,588.9,2008,1,Servicios
250,Soria,42,24.8,2008,1,Servicios
251,Tarragona,43,230.6,2008,1,Servicios
252,Teruel,44,37.6,2008,1,Servicios
253,Toledo,45,179.4,2008,1,Servicios
254,Valencia/ValÃ¨ncia,46,827.4,2008,1,Servicios
255,Valladolid,47,170.8,2008,1,Servicios
256,Zamora,49,42.7,2008,1,Servicios
257,Zaragoza,50,299.9,2008,1,Servicios
258,Ceuta,51,25.8,2008,1,Servicios
259,Melilla,52,23.8,2008,1,Servicios
260,Albacete,2,12.2,2008,2,Agricultura
261,Alicante/Alacant,3,27.8,2008,2,Agricultura
262,AlmerÃ­a,4,48.9,2008,2,Agricultura
263,Araba/Ã�lava,1,2.4,2008,2,Agricultura
264,Asturias,33,22.2,2008,2,Agricultura
265,Ã�vila,5,8.3,2008,2,Agricultura
266,Badajoz,6,32.3,2008,2,Agricultura
267,"Balears, Illes",7,7.3,2008,2,Agricultura
268,Barcelona,8,20.4,2008,2,Agricultura
269,Bizkaia,48,7.5,2008,2,Agricultura
270,Burgos,9,10.0,2008,2,Agricultura
271,CÃ¡ceres,10,20.2,2008,2,Agricultura
272,CÃ¡diz,11,26.5,2008,2,Agricultura
273,Cantabria,39,10.6,2008,2,Agricultura
274,CastellÃ³n/CastellÃ³,12,14.7,2008,2,Agricultura
275,Ciudad Real,13,14.8,2008,2,Agricultura
276,CÃ³rdoba,14,37.3,2008,2,Agricultura
277,"CoruÃ±a, A",15,30.3,2008,2,Agricultura
278,Cuenca,16,10.8,2008,2,Agricultura
279,Gipuzkoa,20,5.4,2008,2,Agricultura
280,Girona,17,7.5,2008,2,Agricultura
281,Granada,18,35.9,2008,2,Agricultura
282,Guadalajara,19,3.9,2008,2,Agricultura
283,Huelva,21,39.3,2008,2,Agricultura
284,Huesca,22,10.4,2008,2,Agricultura
285,JaÃ©n,23,36.1,2008,2,Agricultura
286,LeÃ³n,24,13.8,2008,2,Agricultura
287,Lleida,25,18.5,2008,2,Agricultura
288,Lugo,27,26.2,2008,2,Agricultura
289,Madrid,28,17.9,2008,2,Agricultura
290,MÃ¡laga,29,24.2,2008,2,Agricultura
291,Murcia,30,63.6,2008,2,Agricultura
292,Navarra,31,14.3,2008,2,Agricultura
293,Ourense,32,11.7,2008,2,Agricultura
294,Palencia,34,5.7,2008,2,Agricultura
295,"Palmas, Las",35,9.4,2008,2,Agricultura
296,Pontevedra,36,27.9,2008,2,Agricultura
297,"Rioja, La",26,7.1,2008,2,Agricultura
298,Salamanca,37,12.1,2008,2,Agricultura
299,Santa Cruz de Tenerife,38,18.5,2008,2,Agricultura
300,Segovia,40,8.0,2008,2,Agricultura
301,Sevilla,41,47.4,2008,2,Agricultura
302,Soria,42,3.7,2008,2,Agricultura
