"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
600.576,605.41,598.278,599.179199,3366000,599.179199,"2014-03-20"
576.35,580.85,570.5,578.789978,2526300,578.789978,"2015-03-03"
299.585,302.663,299.104,301.836823,3755200,301.836823,"2010-12-21"
208.684,208.954,201.146,203.878876,8240500,203.878876,"2009-06-22"
402.027,411.762,401.902,409.939941,4596900,409.939941,"2013-04-29"
241.246,242.618,240.28,240.45546,4428500,240.45546,"2010-09-14"
148.699,149.945,145.295,146.706711,48597300,146.706711,"2005-06-07"
758.52,763.3,749.11,754.77002,1776900,754.77002,"2015-11-09"
260.526,264.254,259.76,261.586578,5966000,261.586578,"2007-09-12"
314.319,314.565,310.31,311.226227,4282700,311.226227,"2011-12-19"
718.5,725.57,715.02,721.780029,1626800,721.780029,"2016-05-18"
525.88,536.65,523.41,536.109985,2166100,536.109985,"2014-12-09"
241.547,242.743,239.144,240.990997,12560400,240.990997,"2007-02-02"
434.975,440.861,434.59,438.393402,3441300,438.393402,"2013-09-30"
244.96,254.755,244.505,253.653656,22384100,253.653656,"2008-02-05"
969.18,969.52,937.06,952.51001,3717900,952.51001,"2017-07-27"
235.435,236.887,234.049,236.306305,3801900,236.306305,"2009-09-11"
260.045,261.887,256.927,257.347351,8598900,257.347351,"2009-10-08"
947.2,952.68,941,943.289978,1337400,943.289978,"2017-09-11"
792,794.72,787.23,791.299988,1202700,791.299988,"2016-08-25"
305.48,307.583,302.688,302.917908,4194600,302.917908,"2012-05-11"
270.34,272.047,267.112,267.992981,4672900,267.992981,"2011-05-11"
766.94,785,765.95,783.789978,2019900,783.789978,"2015-12-01"
151.176,156.401,144.024,145.645645,20082000,145.645645,"2008-11-12"
296.542,301.326,296.296,297.767761,8927600,297.767761,"2011-07-18"
299.419,303.619,298.959,300.935944,3854300,300.935944,"2012-04-24"
289.044,289.645,283.473,285.030029,9965400,285.030029,"2012-01-25"
697.89,698,673.68,680,2613300,680,"2015-10-20"
454.084,455.606,450.801,451.901917,4152800,451.901917,"2013-07-24"
694.49,696,680.51,691.469971,2924900,691.469971,"2015-08-12"
