"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
296.807,297.713,289.88,292.797791,5022100,292.797791,"2009-12-04"
306.987,313.018,306.807,309.799805,6256900,309.799805,"2011-07-25"
351.196,353.809,350.355,350.355347,2801100,350.355347,"2012-12-28"
969.96,974.51,964.5,970.549988,1545400,970.549988,"2017-05-23"
719.42,728.93,718.87,727.200012,1441100,727.200012,"2016-07-11"
250.2,250.736,242.688,244.524521,5961000,244.524521,"2010-06-21"
201.602,206.206,200.801,204.194199,5113400,204.194199,"2009-05-11"
275.29,279.78,274.284,279.77478,11363800,279.77478,"2011-10-13"
372.347,378.549,370.5,378.123108,4581200,378.123108,"2012-10-17"
548.28,557.4,545.5,553.650024,2151300,553.650024,"2014-10-23"
550.14,558.63,544.5,548.690002,2609900,548.690002,"2014-10-14"
322.578,323.509,321.081,321.49649,2138400,321.49649,"2012-08-09"
171.922,172.422,165.941,168.918915,38612500,168.918915,"2006-03-10"
564.65,567.19,558.31,563.640015,2492100,563.640015,"2015-03-26"
234.525,234.525,230.596,233.26326,3993800,233.26326,"2009-08-27"
546,551.5,546,548.840027,1419300,548.840027,"2015-04-08"
219.459,219.79,206.927,207.452454,18235500,207.452454,"2008-09-17"
265.966,267.593,260.856,262.687683,6531000,262.687683,"2011-09-09"
538.44,549.57,538.01,547.330017,2041800,547.330017,"2015-02-25"
359.214,360.18,355.866,356.016022,4418500,356.016022,"2013-01-17"
385.741,387.578,382.888,384.209198,5466300,384.209198,"2012-10-05"
287.603,291.532,286.742,289.5896,6620500,289.5896,"2008-05-20"
972.04,977.91,962.01,970.5,2005400,970.5,"2017-06-13"
197.563,198.854,192.893,198.618622,6696600,198.618622,"2009-05-18"
215.125,215.836,211.431,211.95195,21994700,211.95195,"2005-11-28"
291.542,292.237,285.921,287.787781,7341000,287.787781,"2008-06-02"
262.497,264.224,260.626,262.682678,4797500,262.682678,"2011-09-02"
222.222,224.059,217.032,218.25325,5115000,218.25325,"2010-07-06"
91.517,96.637,90.591,96.591591,77047200,96.591591,"2005-02-14"
595.095,595.596,591.281,593.938965,3445500,593.938965,"2014-02-12"
