"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
397.903,401.527,397.022,400.996002,3610900,400.996002,"2013-04-01"
970.8,978.7,964.8,968.849976,1524600,968.849976,"2017-07-13"
544.48,546.69,541.57,544.869995,1626300,544.869995,"2015-06-16"
93.423,96.256,93.128,93.793793,26205700,93.793793,"2005-02-11"
295.05,296.672,293.644,295.540527,6775200,295.540527,"2011-10-21"
440.39,445.03,439.69,443.658661,2091900,443.658661,"2013-07-03"
220.721,221.627,218.268,220.145142,5059900,220.145142,"2009-07-28"
547.58,547.58,538.1,541.799988,1911700,541.799988,"2015-02-20"
314.289,316.181,313.819,315.165161,3640900,315.165161,"2011-12-22"
230.23,231.852,224.925,225.355362,9687300,225.355362,"2008-09-04"
255.826,255.841,249.214,251.10611,15257500,251.10611,"2008-02-06"
274.229,276.612,273.899,276.356354,10463700,276.356354,"2007-07-13"
227.062,228.844,226.416,227.197205,3421500,227.197205,"2009-08-11"
121.702,129.179,121.476,127.852852,42733800,127.852852,"2005-05-23"
989,995.11,984.17,993.840027,1463300,993.840027,"2017-07-21"
188.659,188.684,182.983,184.639633,6850300,184.639633,"2009-04-14"
556.52,557.91,552.26,557.52002,2964500,557.52002,"2015-06-19"
565.92,568.97,563.68,567.5,1129000,567.5,"2014-06-11"
735.52,735.52,729.02,729.47998,1021800,729.47998,"2016-07-13"
890,893.38,887.18,891.440002,2342300,891.440002,"2017-04-27"
376.902,382.828,374.204,374.954956,12104800,374.954956,"2012-09-25"
154.454,161.071,152.903,160.820816,7213700,160.820816,"2009-01-02"
306.266,307.718,305.33,306.571564,4507600,306.571564,"2010-10-22"
749.9,759.9,749.2,755.309998,2083400,755.309998,"2015-11-04"
94.715,94.92,93.884,94.704704,10494600,94.704704,"2005-04-06"
548,553.4,547.12,549.280029,2356300,549.280029,"2015-05-19"
267.748,267.748,264.069,265.825836,8184200,265.825836,"2010-02-02"
786.28,791.43,736.26,749.380005,6555700,749.380005,"2016-02-03"
249.099,254.059,248.393,252.998001,5831300,252.998001,"2008-08-14"
643.1,662.48,630.37,659.73999,4387000,659.73999,"2015-08-26"
