"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
231.577,231.802,227.372,228.04805,13055100,228.04805,"2007-03-07"
307.202,312.813,306.807,312.562561,5174600,312.562561,"2011-02-11"
661.6,673.03,655.87,671.679993,1898000,671.679993,"2015-10-05"
244.169,244.665,239.009,242.632629,5364800,242.632629,"2010-06-08"
812.39,824.3,811.94,815.340027,2128200,815.340027,"2016-12-13"
943.95,947.54,939.8,945.789978,1254600,945.789978,"2017-08-04"
206.456,209.209,206.026,208.953949,16311200,208.953949,"2005-12-13"
193.949,195.07,190.746,192.537537,5212700,192.537537,"2009-04-23"
294.174,294.545,286.331,290.760773,5996500,290.760773,"2011-11-21"
371.371,371.587,368.519,370.365356,2567800,370.365356,"2013-01-11"
590.676,596.532,586.692,595.685669,4097400,595.685669,"2014-02-11"
288.534,294.484,287.237,293.838837,12980200,293.838837,"2010-01-13"
308.794,310.145,307.387,308.653656,2665300,308.653656,"2011-01-13"
797.71,803.94,790,791.340027,5090500,791.340027,"2016-07-29"
249.72,254.334,249.134,253.558563,7213900,253.558563,"2007-08-21"
437.312,439.439,435.721,437.262268,3659100,437.262268,"2013-06-26"
298.368,302.643,298.063,301.576569,5929000,301.576569,"2011-07-19"
278.398,278.949,272.503,272.872864,7618100,272.872864,"2008-06-11"
820.92,822.39,814.29,821.619995,1350900,821.619995,"2017-02-06"
263.514,266.727,262.803,265.565552,3711800,265.565552,"2010-05-03"
182.432,186.046,179.179,185.075073,7572000,185.075073,"2009-04-03"
261.131,264.179,259.389,263.908905,6707000,263.908905,"2010-09-24"
826.62,829.9,821.47,829.859985,1325400,829.859985,"2017-01-11"
190.646,191.892,183.754,184.234238,17861500,184.234238,"2006-03-06"
172.442,172.698,170.225,171.831833,14553000,171.831833,"2009-01-29"
851.08,852.62,842.5,851,1386700,851,"2017-02-23"
216.717,217.958,213.564,215.340347,13694400,215.340347,"2009-07-17"
559.8,564.18,555.41,555.690002,2026200,555.690002,"2015-03-11"
549.23,549.88,545.23,547.72998,1480200,547.72998,"2014-11-26"
234.8,236.236,228.999,232.327332,12084100,232.327332,"2008-04-09"
