"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
271.772,272.087,266.411,267.802795,5739400,267.802795,"2010-02-23"
586.37,587.97,574,578.400024,2125200,578.400024,"2014-07-08"
353.143,353.704,336.336,341.236237,22941400,341.236237,"2012-10-19"
231.281,232.467,230.16,230.470474,5113200,230.470474,"2006-12-29"
240.636,242.618,238.884,239.764771,9321600,239.764771,"2007-01-23"
262.888,263.764,261.266,262.787781,3258300,262.787781,"2011-04-25"
742.87,743.12,733.25,739.47998,1814600,739.47998,"2016-03-02"
230.295,237.983,230.05,236.666672,20223500,236.666672,"2008-02-27"
139.64,140.29,138.088,140.290283,20847900,140.290283,"2005-06-17"
187.242,191.026,186.486,190.675674,13383000,190.675674,"2006-08-15"
540.47,543.84,538.98,539.48999,1211900,539.48999,"2015-05-13"
560.9,562.4,552.53,554.51001,2031300,554.51001,"2014-06-03"
342.973,343.769,338.599,343.007996,6498400,343.007996,"2008-01-03"
224.069,226.877,215.806,216.566574,14925200,216.566574,"2008-03-06"
291.792,294.374,291.161,293.673676,4054700,293.673676,"2011-03-31"
306.787,308.403,305.42,307.137146,3068700,307.137146,"2012-05-10"
380.355,381.802,376.201,378.628632,7854300,378.628632,"2012-09-27"
503.15,510.85,503.09,510.459991,2482900,510.459991,"2015-01-16"
546.31,547.77,542.21,542.919983,1456400,542.919983,"2015-04-21"
322.823,325.07,320.09,324.98999,3634700,324.98999,"2012-03-26"
218.233,222.698,217.457,221.73674,30898200,221.73674,"2006-01-24"
517.477,520.395,515.691,518.133118,2331000,518.133118,"2013-11-14"
190.686,190.831,188.784,189.489487,5340400,189.489487,"2006-09-01"
219.434,233.123,219.079,230.510513,13513400,230.510513,"2008-03-24"
171.341,175.22,170.941,174.269272,20794300,174.269272,"2006-03-20"
870.53,872.71,867.52,870,1104500,870,"2017-03-16"
536.031,541.697,534.545,539.609619,2962200,539.609619,"2013-12-09"
192.067,194.72,190.961,192.047043,5881300,192.047043,"2009-04-28"
287.788,288.744,284.309,285.590576,4167000,285.590576,"2011-04-12"
366.471,367.828,365.425,367.362366,12705400,367.362366,"2012-09-21"
