"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
263.418,263.899,258.458,259.469482,5910400,259.469482,"2011-05-16"
194.069,197.332,189.484,196.846848,20698200,196.846848,"2006-06-08"
807.23,813.91,800.86,802.640015,1350000,802.640015,"2016-09-29"
319.845,323.258,319.57,321.436432,2641700,321.436432,"2012-08-08"
246.617,246.972,241.742,243.05806,5783800,243.05806,"2010-05-28"
240.14,244.93,239.479,244.389389,5165400,244.389389,"2009-09-16"
296.947,298.488,295.791,296.866852,4556200,296.866852,"2009-12-15"
213.338,215.195,211.912,214.414413,5241900,214.414413,"2009-06-02"
710.31,715.87,705.41,706.130005,2282700,706.130005,"2016-06-20"
857.39,860.2,853.53,856.51001,1080300,856.51001,"2017-04-19"
232.387,233.679,231.036,233.358353,15297800,233.358353,"2006-01-13"
789.1,791.51,773.15,775.880005,2279100,775.880005,"2016-11-30"
236.617,236.737,233.584,234.234238,3971600,234.234238,"2009-08-26"
178.408,187.092,177.898,185.825821,14062100,185.825821,"2009-02-06"
557.94,562.45,554.67,554.700012,1746600,554.700012,"2015-03-31"
848,853,847.51,852.570007,1348500,852.570007,"2017-04-04"
173.073,173.388,166.667,170.120117,45739000,170.120117,"2005-10-21"
211.471,218.053,209.319,217.83284,26216100,217.83284,"2006-01-03"
770.42,783.5,766.33,779.97998,1794300,779.97998,"2016-11-16"
214.209,217.072,206.261,210.145142,15760600,210.145142,"2008-03-17"
305.806,307.477,304.069,306.306305,3517800,306.306305,"2011-02-02"
192.467,193.133,190.205,190.86586,7326600,190.86586,"2006-05-26"
254.174,256.907,253.869,256.696686,5093500,256.696686,"2007-08-29"
264.6,271.321,264.379,270.680695,5992200,270.680695,"2010-02-03"
203.579,204.354,201.827,202.312317,7095200,202.312317,"2006-06-26"
256.687,259.149,256.096,258.25827,5069100,258.25827,"2010-09-22"
358.659,364.915,357.883,360.895905,6003700,360.895905,"2012-12-18"
302.432,305,299.63,300.775787,7414500,300.775787,"2011-11-09"
339.68,339.825,332.107,334.5896,11579400,334.5896,"2007-10-25"
603.759,605.42,591.817,592.112122,6410500,592.112122,"2014-03-21"
