"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
786.67,807.49,785.04,800.940002,3029700,800.940002,"2016-08-01"
258.559,260.26,256.957,259.454468,4595400,259.454468,"2011-05-23"
300.576,302.147,293.794,296.126129,6918400,296.126129,"2011-03-07"
355.155,356.857,353.859,355.19519,5231700,355.19519,"2012-09-14"
340.44,347.047,332.833,333.333344,13566600,333.333344,"2007-11-26"
859,867,841.9,845.030029,3752500,845.030029,"2017-01-27"
184.414,186.186,179.364,180.025024,15961800,180.025024,"2008-10-30"
245.536,248.999,245.33,246.561554,4897400,246.561554,"2010-07-27"
602.05,607.05,601.35,605.190002,1106000,605.190002,"2014-07-23"
216.101,216.647,213.178,216.236237,15078100,216.236237,"2005-12-22"
240.065,243.924,239.81,242.667664,4283900,242.667664,"2010-07-30"
265.24,265.706,260.711,261.026031,5362800,261.026031,"2011-04-19"
973.36,990.85,972.04,986.950012,1413300,986.950012,"2017-07-18"
208.008,209.875,206.371,209.874878,12503400,209.874878,"2006-06-30"
153.293,154.78,151.151,151.151154,38034900,151.151154,"2005-06-28"
240.455,245.776,240.3,241.426422,5328200,241.426422,"2010-06-01"
443.173,448.253,440.876,445.905914,3507600,445.905914,"2013-07-30"
307.818,308.679,305.606,307.797791,3269500,307.797791,"2012-04-27"
292.012,293.704,286.411,291.781769,12602700,291.781769,"2010-01-21"
587.81,589.37,580.9,583,1364600,583,"2014-08-27"
308.263,309.434,305.37,308.528534,4198100,308.528534,"2011-01-07"
300.951,306.351,299.6,304.479492,7946000,304.479492,"2011-11-11"
346.001,349.96,343.188,349.534546,6320800,349.534546,"2012-11-30"
313.904,314.234,311.081,312.307312,6003300,312.307312,"2010-01-05"
235.295,237.658,233.173,235.795792,7892100,235.795792,"2007-05-04"
336.341,344.009,336.336,340.515503,5827300,340.515503,"2012-10-23"
183.684,185.095,180.881,184.304306,6554000,184.304306,"2009-04-06"
282.162,289.54,281.386,288.513519,11298400,288.513519,"2010-03-10"
828.09,841.38,824.3,838.51001,1934600,838.51001,"2017-03-27"
512.9,515.19,503.48,513.22998,3950900,513.22998,"2015-01-29"
