"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
319.57,324.725,315.816,323.348358,4815500,323.348358,"2012-03-22"
87.738,90.09,87.192,89.394394,20823300,89.394394,"2005-03-15"
265.035,265.43,263.113,265.170166,3902400,265.170166,"2011-05-18"
569.565,578.078,569.074,569.649658,5618100,569.649658,"2014-02-04"
335.475,337.462,332.382,334.104095,4816500,334.104095,"2012-08-15"
943.2,954.18,941.27,950.5,1800500,950.5,"2017-05-18"
770,780,766.97,778.219971,1688500,778.219971,"2016-12-05"
277.953,282.172,275.681,280.380371,11354800,280.380371,"2008-06-19"
445.45,448.153,444.114,447.1922,3400300,447.1922,"2013-07-05"
506.236,510.01,500.275,502.152161,7249300,502.152161,"2013-10-21"
242.467,250.02,241.887,249.78479,12106400,249.78479,"2007-01-24"
306.236,307.668,305.055,305.325317,3860900,305.325317,"2011-02-25"
247.487,247.497,241.837,241.836838,4076700,241.836838,"2010-06-14"
831.61,845.54,828.7,844.429993,2457400,844.429993,"2017-01-23"
351.747,357.217,351.241,351.95697,13041300,351.95697,"2007-11-01"
869.48,870.34,864.67,867.909973,1542200,867.909973,"2017-03-20"
97.367,97.778,94.154,94.234238,18498200,94.234238,"2005-01-21"
272.918,273.148,265.295,265.615601,28059300,265.615601,"2011-04-15"
448.193,448.368,443.088,446.776764,2973000,446.776764,"2013-08-08"
720.17,737.67,711.11,726.669983,2596900,726.669983,"2016-01-21"
310.691,313.183,299.304,300.695709,16417100,300.695709,"2008-01-17"
709.99,724.16,701.51,710.48999,3833800,710.48999,"2016-01-15"
548.87,552.8,548.03,548.950012,1411300,548.950012,"2015-05-08"
190.936,191.266,189.289,189.454453,5913800,189.454453,"2006-08-31"
274.65,277.272,272.773,275.325317,7780200,275.325317,"2010-04-19"
343.323,350.295,342.708,350.050049,6080900,350.050049,"2012-09-06"
204.705,205.871,202.798,204.679672,12021900,204.679672,"2006-04-12"
194.745,195.661,194.194,195.545547,10598500,195.545547,"2006-06-16"
438.093,440.711,436.517,440.555542,3791600,440.555542,"2013-05-10"
202.252,202.698,196.446,198.50351,5993600,198.50351,"2009-05-07"
