"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
130.36,133.158,129.755,133.133133,24343800,133.133133,"2005-05-27"
432.352,434.85,430.536,434.554565,4506000,434.554565,"2013-10-10"
181.837,185.065,180.34,181.431427,8967000,181.431427,"2009-04-02"
321.381,321.802,315.145,316.191193,6805300,316.191193,"2011-01-19"
739.5,743.81,735.77,742.929993,1615700,742.929993,"2016-06-08"
538.238,538.684,529.474,530.925903,4320400,530.925903,"2013-12-13"
148.273,148.899,147.172,148.26326,14900200,148.26326,"2005-07-08"
192.362,194.94,191.567,193.168167,4576600,193.168167,"2009-04-27"
242.112,246.116,241.542,242.532532,5196300,242.532532,"2009-10-02"
326.797,334.409,326.512,333.038025,7345600,333.038025,"2012-01-03"
285.485,286.181,282.187,284.364349,6685500,284.364349,"2007-09-26"
996.21,999.6,981.68,987.090027,1724100,987.090027,"2017-05-31"
334.339,342.798,332.277,342.177185,6077900,342.177185,"2012-11-28"
317.137,321.026,304.805,311.31131,23574400,311.31131,"2007-10-11"
550.2,557.61,549.3,556.809998,1708500,556.809998,"2015-05-21"
260.255,265.49,256.827,263.693695,7185400,263.693695,"2011-08-26"
186.116,192.142,184.69,189.879883,32679400,189.879883,"2005-11-01"
293.734,293.749,289.91,290.160156,5711000,290.160156,"2011-03-25"
144.98,146.306,144.479,144.7948,20927000,144.7948,"2005-06-22"
725.15,727.21,705.14,712.799988,3084500,712.799988,"2016-03-07"
89.725,91.176,88.714,90.530533,14952400,90.530533,"2005-03-21"
316.341,322.568,316.316,320.445435,3209500,320.445435,"2011-12-27"
500.42,508.26,498.16,505.929993,2640000,505.929993,"2015-01-14"
303.493,306.051,302.803,305.085083,3886700,305.085083,"2011-03-03"
238.754,242.963,237.002,238.648651,11875100,238.648651,"2008-04-07"
150.26,150.841,145.936,148.858856,7396300,148.858856,"2008-12-29"
291.562,295.295,281.281,289.809814,11846300,289.809814,"2011-08-05"
194.96,196.431,194.159,195.045044,16229100,195.045044,"2006-04-03"
527,540.99,524.95,536.919983,3805000,536.919983,"2014-10-16"
248.969,250.751,246.071,250.270264,10947800,250.270264,"2007-08-17"
