"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
338.589,341.857,335.936,337.912903,3897600,337.912903,"2012-10-26"
323.273,324.85,318.008,319.144135,11125200,319.144135,"2008-01-15"
565.991,566.537,551.602,557.697693,7636700,557.697693,"2014-03-27"
287.172,287.287,285.285,286.781769,4331600,286.781769,"2009-11-19"
957.91,959.95,948.7,958.619995,2559200,958.619995,"2017-06-16"
130.611,132.012,129.279,129.729736,27066100,129.729736,"2005-05-26"
237.518,240.686,235.956,237.112106,5724400,237.112106,"2008-07-31"
191.041,192.693,188.774,190.030029,21109600,190.030029,"2005-11-02"
171.446,172.077,168.193,171.51651,6182000,171.51651,"2009-03-30"
805.09,807.19,803.64,807.049988,897300,807.049988,"2016-08-12"
940.09,941.75,931.25,935.289978,1994300,935.289978,"2017-09-15"
805.36,808,801.63,802.75,864600,802.75,"2016-08-18"
667.78,668.8,658.87,664.390015,1377200,664.390015,"2015-08-07"
285.771,286.406,274.575,278.26828,11621700,278.26828,"2008-01-28"
846.86,848.94,841.17,847.27002,1047900,847.27002,"2017-03-06"
595,596.65,590.24,591.179993,1403700,591.179993,"2014-09-23"
541.05,550.76,540.23,542.690002,2973700,542.690002,"2014-10-22"
941.95,953.13,941.95,951,1451500,951,"2017-07-10"
533.75,545.8,533.35,544.530029,1925400,544.530029,"2015-04-20"
216.316,223.328,210.265,212.512512,43829700,212.512512,"2005-12-19"
204.995,208.894,204.555,207.40741,5847300,207.40741,"2009-07-10"
237.122,240.07,236.401,238.713715,9973000,238.713715,"2006-11-06"
272.773,275.025,265.626,270.555542,8654700,270.555542,"2008-07-10"
226.506,230.225,224.049,229.644638,4620100,229.644638,"2010-08-27"
775.36,779.61,773.22,775.390015,1348000,775.390015,"2016-04-14"
346.421,347.598,341.507,344.254242,3721000,344.254242,"2012-12-05"
243.218,244.685,239.905,242.737732,5345600,242.737732,"2010-07-29"
443.378,449.615,442.447,449.464478,4011100,449.464478,"2013-10-16"
297.638,297.673,294.159,295.550537,3436500,295.550537,"2009-12-11"
443.173,443.443,435.26,436.426422,4405100,436.426422,"2013-06-12"
