"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
228.063,229.94,227.723,228.778778,5081100,228.778778,"2009-08-07"
327.653,334.505,325.475,331.846832,6221900,331.846832,"2012-11-09"
325.325,330.33,322.272,323.953949,3694100,323.953949,"2012-11-15"
268.008,273.103,267.773,270.800812,8704800,270.800812,"2010-03-02"
379.905,382.883,378.483,381.271271,6329600,381.271271,"2012-10-01"
580.02,584.71,577.88,580.320007,1405800,580.320007,"2014-08-28"
277.187,284.535,274.479,281.346344,9651500,281.346344,"2011-08-11"
189.239,189.69,187.798,188.838837,8038500,188.838837,"2006-08-21"
148.934,151.942,143.539,149.644638,11857100,149.644638,"2009-01-15"
282.808,285.155,281.687,283.843842,6055500,283.843842,"2010-03-31"
696.34,712.32,691.19,706.359985,3250200,706.359985,"2016-02-11"
189.319,192.538,189.074,192.237244,9049300,192.237244,"2006-09-11"
550.51,551.22,543.85,551.159973,1828600,551.159973,"2015-05-01"
313.789,315.07,312.432,313.68869,3908400,313.68869,"2010-01-04"
758.81,766.35,757.47,760.669983,2274300,760.669983,"2015-11-05"
139.434,140.761,139.014,139.314316,20163600,139.314316,"2005-06-14"
322.828,328.929,320.375,323.68869,12655700,323.68869,"2008-01-10"
258.524,260.881,258.148,259.844849,3303400,259.844849,"2011-06-08"
193.263,196.071,189.034,195.250244,23485600,195.250244,"2006-07-21"
242.588,242.993,238.749,239.734741,9314800,239.734741,"2006-12-13"
252.252,253.754,247.513,249.334335,9801900,249.334335,"2011-08-22"
822.43,822.63,808,809.900024,2242700,809.900024,"2016-10-31"
807.93,810.6,803.72,807.98999,1145300,807.98999,"2016-09-07"
240.681,242.287,233.083,234.634628,11791100,234.634628,"2008-07-21"
550.99,556.69,547.39,552.840027,1763000,552.840027,"2015-05-04"
809.28,816.22,804.5,812.5,1263600,812.5,"2016-12-19"
600.27,600.6,590.48,591.969971,1571200,591.969971,"2014-09-09"
135,139.029,131.421,137.692688,11667700,137.692688,"2008-12-02"
344.344,348.058,332.167,334.949951,10961000,334.949951,"2007-12-17"
734.96,740,731.61,739.380005,1627900,739.380005,"2016-05-10"
