"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
575,575.9,569.91,572.119995,1394500,572.119995,"2014-08-12"
231.146,233.734,230.731,233.603607,5882300,233.603607,"2007-05-11"
249.449,249.449,246.572,247.772766,10238700,247.772766,"2006-11-20"
225.225,229.134,225.225,227.537537,5179000,227.537537,"2010-08-25"
241.742,243.959,239.915,242.667664,9790000,242.667664,"2006-12-04"
573.574,574.234,567.212,571.186157,4480500,571.186157,"2014-01-08"
147.923,149.65,147.773,149.014008,10462500,149.014008,"2005-08-04"
214.214,218.799,210.726,215.735733,10574400,215.735733,"2008-09-26"
220.225,224.164,219.254,220.310303,13290400,220.310303,"2008-03-12"
144.144,147.553,143.393,145,28084600,145,"2005-06-23"
558.13,565,554.17,563.799988,2672500,563.799988,"2014-05-23"
212.883,216.466,211.587,215.290283,32628300,215.290283,"2005-12-16"
979,995.78,977.82,991.859985,1954100,991.859985,"2017-05-25"
331.832,334.134,329.444,329.854858,3185200,329.854858,"2012-11-13"
189.009,189.324,186.517,186.901901,7277300,186.901901,"2006-08-23"
187.127,189.024,186.416,187.287292,8515200,187.287292,"2006-08-10"
260.661,263.674,257.573,257.62262,9683300,257.62262,"2007-08-09"
540.5,543.93,537.16,537.309998,2215000,537.309998,"2014-12-29"
232.267,233.864,227.733,228.953949,8331000,228.953949,"2008-04-11"
301.301,302.553,297.172,297.737732,6568800,297.737732,"2011-11-18"
542.47,546.86,540.75,546.450012,1541700,546.450012,"2015-02-19"
264.344,269.98,263.263,267.272278,5676700,267.272278,"2011-07-12"
114.114,114.364,112.828,113.123123,11062500,113.123123,"2005-05-09"
233.984,237.102,233.423,235.190186,10462900,235.190186,"2006-11-02"
170.626,177.868,168.669,177.037033,14514200,177.037033,"2009-02-05"
232.322,232.858,226.396,228.328323,13892600,228.328323,"2006-12-21"
801.11,803.99,793.56,795.390015,1146700,795.390015,"2016-09-19"
576.141,580.661,574.349,580.560547,3889300,580.560547,"2014-02-06"
210.971,211.612,208.028,210.940948,9961200,210.940948,"2006-07-05"
307.708,308.003,304.585,307.412415,3155200,307.412415,"2011-01-10"
