"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
243.298,248.749,240.991,241.74675,4024500,241.74675,"2008-08-25"
450.055,453.589,448.989,452.997986,3935000,452.997986,"2013-07-08"
242.337,245.445,241.016,242.647644,11143800,242.647644,"2006-11-30"
946.92,948.09,937.5,946.650024,1284800,946.650024,"2017-09-12"
349.965,352.107,347.087,349.12912,4847100,349.12912,"2012-12-12"
228.979,229.55,226.592,228.018021,7968600,228.018021,"2006-12-22"
924.2,936.29,918.63,932.26001,2094100,932.26001,"2017-07-05"
536.461,543.018,530.05,542.917908,4416100,542.917908,"2013-12-18"
196.607,197.142,190.796,195.645645,16156000,195.645645,"2006-07-24"
550.39,550.6,542.5,546.48999,1672000,546.48999,"2015-05-15"
284.314,285.285,272.973,279.214203,10566000,279.214203,"2008-06-09"
176.757,181.992,175.916,181.706711,11089400,181.706711,"2009-02-12"
602.172,604.049,600.711,602.657654,3398100,602.657654,"2014-02-20"
513.313,514.014,508.193,511.886902,1823900,511.886902,"2013-11-06"
193.203,200.11,192.598,196.316315,21440100,196.316315,"2009-04-17"
209.865,210.756,207.918,208.208206,6093300,208.208206,"2009-06-16"
573.39,573.48,568.45,570.559998,1411100,570.559998,"2014-05-29"
90.681,91.061,89.014,89.389389,11252100,89.389389,"2005-03-22"
177.002,179.179,169.164,176.336334,12944800,176.336334,"2008-10-23"
211.902,212.903,211.201,211.806808,7366800,211.806808,"2006-07-06"
802.33,805.75,798.14,802.880005,1056500,802.880005,"2016-12-29"
304.404,310.656,303.564,310.265259,7286300,310.265259,"2011-01-25"
935,936.3,921.78,923.590027,2707400,923.590027,"2017-08-10"
287.768,290.355,286.386,290.325317,5033900,290.325317,"2012-06-29"
168.739,176.361,166.476,175.755753,36864400,175.755753,"2006-03-14"
355.536,356.742,351.016,352.607605,6447100,352.607605,"2013-01-18"
429.284,436.436,429.154,433.25827,3618100,433.25827,"2013-08-19"
299.73,299.8,293.859,297.747742,12549400,297.747742,"2008-05-05"
278.509,280.405,276.356,277.427429,4778200,277.427429,"2010-04-21"
335.09,339.339,332.618,335.320313,4173200,335.320313,"2012-11-20"
