"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
542.25,548.58,542.1,545.619995,1280700,545.619995,"2015-07-06"
842,844,829.1,835.140015,2105700,835.140015,"2017-03-24"
274.134,276.166,273.023,275.825836,3649700,275.825836,"2009-11-06"
263.889,266.732,256.882,266.211212,5263100,266.211212,"2011-09-26"
260.445,262.242,259.334,259.389404,3796200,259.389404,"2011-05-24"
560.3,563.14,557.46,557.950012,1334200,557.950012,"2015-06-25"
736,741.1,733,736.929993,1298300,736.929993,"2016-05-26"
254.004,257.873,251.552,257.61261,6841700,257.61261,"2011-10-06"
691.07,695.76,685.32,688.72998,1385500,688.72998,"2015-08-18"
677.4,678.74,658.11,670,2217700,670,"2015-10-07"
148.994,159.159,148.654,153.138138,13766000,153.138138,"2008-12-09"
196.256,199.309,195.961,198.683685,15600100,198.683685,"2005-11-14"
202.207,203.443,200.766,203.258255,7413500,203.258255,"2006-06-28"
304.805,307.492,302.102,306.476471,6052700,306.476471,"2011-11-08"
571.64,572.58,565.79,571.650024,1871700,571.650024,"2014-05-30"
229.76,233.368,229.63,232.217224,4386400,232.217224,"2009-09-09"
321.216,322.452,318.554,320.590576,3959600,320.590576,"2012-08-07"
169.57,171.061,167.633,170.065063,17086200,170.065063,"2006-03-17"
581.587,586.371,566.316,566.551575,5154800,566.551575,"2014-03-26"
370.991,378.794,370.626,377.482483,6758600,377.482483,"2013-01-24"
427.608,433.529,427.402,430.620605,4091100,430.620605,"2013-09-03"
552.2,557.96,551,555.450012,2149700,555.450012,"2014-05-22"
300.801,301.166,294.434,296.061066,7156600,296.061066,"2012-05-25"
752.47,754.95,744.05,745.97998,1943200,745.97998,"2015-11-17"
276.251,277.382,270.395,275.005005,10142400,275.005005,"2008-05-22"
460.46,461.962,458.078,461.961975,5131200,461.961975,"2013-07-12"
776.81,777.29,765.54,771.75,3592600,771.75,"2016-11-11"
451.732,455.11,443.884,445.155151,5116000,445.155151,"2013-05-22"
197.242,198.393,194.369,194.964966,5679900,194.964966,"2009-05-13"
609.805,612.728,609.114,610.21521,2517400,610.21521,"2014-02-27"
