"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
296.522,297.057,291.702,293.283295,4319200,293.283295,"2012-07-06"
218.834,219.119,216.161,218.338333,3970000,218.338333,"2009-07-29"
235.155,239.58,234.104,238.168167,11269900,238.168167,"2007-02-21"
237.487,241.216,235.03,236.061066,21997100,236.061066,"2007-04-19"
284.615,286.952,282.958,286.196198,5090700,286.196198,"2010-12-02"
558.288,559.434,554.685,557.117126,3639100,557.117126,"2014-01-02"
266.952,268.519,263.599,266.266266,6111600,266.266266,"2010-04-29"
264.284,266.867,262.918,263.063049,5905800,263.063049,"2011-06-01"
268.048,272.472,266.341,271.08609,9875900,271.08609,"2007-07-05"
195.726,202.202,195.07,201.266266,17471300,201.266266,"2006-06-21"
734.92,737.15,731.31,732.190002,1161700,732.190002,"2016-06-15"
153.764,155.25,147.272,154.439438,14453900,154.439438,"2009-03-06"
974,977.54,970.15,976.909973,1079600,976.909973,"2017-07-14"
155.205,160.16,153.008,159.11412,11835300,159.11412,"2009-03-11"
191.066,195.195,189.695,192.122116,6996500,192.122116,"2009-04-22"
349.635,351.597,345.636,346.08609,4747600,346.08609,"2007-12-31"
230.506,232.733,228.038,232.732727,9411100,232.732727,"2007-03-26"
173.063,173.874,171.602,173.628632,13742800,173.628632,"2005-10-25"
510.95,511.49,503.65,505.149994,2345900,505.149994,"2015-01-07"
933.41,937.94,926.66,936.859985,1242700,936.859985,"2017-09-19"
253.253,253.258,241.006,241.116119,31286000,241.116119,"2007-02-01"
723.29,729.26,703.2,705.059998,3129500,705.059998,"2016-04-28"
304.464,306.997,302.988,304.299286,3642300,304.299286,"2012-07-25"
715.9,724.03,713.12,722.109985,1745900,722.109985,"2016-02-19"
848,853.79,846.71,851.359985,1224400,851.359985,"2017-02-22"
310.936,313.939,310.45,312.942932,2954600,312.942932,"2011-02-17"
158.509,160.335,154.71,155.295288,9517400,155.295288,"2008-12-18"
292.743,294.274,290.531,292.702698,4237500,292.702698,"2011-11-02"
189.054,189.82,187.608,189.334335,8319800,189.334335,"2006-08-22"
241.782,250.45,241.331,249.244247,8510600,249.244247,"2010-06-15"
