"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
358.353,362.763,357.357,359.56958,7704600,359.56958,"2007-12-10"
244.084,246.226,242.342,242.792786,14049300,242.792786,"2006-10-26"
295.796,296.802,293.403,294.049042,3323000,294.049042,"2009-12-02"
195.185,196.091,192.918,195.410416,17632100,195.410416,"2005-11-04"
251.657,253.539,248.584,250.43544,5508400,250.43544,"2011-06-16"
788.38,796.44,785.34,789.440002,1562000,789.440002,"2016-11-29"
790.01,803.65,788.66,801.22998,1557200,801.22998,"2016-09-15"
820,824.29,818.31,824.059998,1615800,824.059998,"2016-10-21"
593.27,594.99,589.8,592.539978,877200,592.539978,"2014-08-22"
279.249,279.935,270.746,273.518524,9833100,273.518524,"2008-04-23"
244.51,247.598,243.258,245.505508,3777600,245.505508,"2010-08-17"
145.946,149.91,145.706,149.744751,14565800,149.744751,"2005-08-02"
320.706,324.074,317.738,323.783783,4563800,323.783783,"2012-04-02"
267.853,269.77,266.777,268.163177,4229700,268.163177,"2011-05-04"
230.746,241.737,230.531,241.036041,8100800,241.036041,"2010-07-20"
389.59,391.892,387.262,391.601593,4331200,391.601593,"2013-02-11"
308.193,310.31,306.471,308.543549,4479300,308.543549,"2010-10-27"
815.92,824.26,812.78,817.890015,1799700,817.890015,"2016-12-14"
262.457,263.994,260.951,263.318329,6068700,263.318329,"2009-10-13"
225.811,226.972,216.717,218.443451,29045500,218.443451,"2006-01-19"
165.315,166.662,163.333,165.245239,9466300,165.245239,"2009-03-20"
115.521,116.231,114.214,114.474472,17878500,114.474472,"2005-05-12"
162.588,164.164,160.44,162.097092,9212100,162.097092,"2009-01-26"
227.292,227.292,214.715,215.285278,8805700,215.285278,"2008-09-22"
222.773,224.074,221.381,222.862869,4697400,222.862869,"2009-08-18"
680,703,678,699.619995,12858100,699.619995,"2015-07-17"
590.966,600.551,590.42,600.550537,3669100,600.550537,"2014-02-13"
563.614,563.814,541.677,551.166138,8698400,551.166138,"2014-01-27"
566,569.64,563.06,565.369995,1501200,565.369995,"2015-03-23"
248.519,250.375,246.436,249.034027,4681300,249.034027,"2011-06-29"
