"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
304.585,309.154,303.809,305.090088,6041700,305.090088,"2012-04-17"
751.26,764.15,736.26,762.539978,2693200,762.539978,"2015-12-14"
731.06,735.85,718,720.190002,1670200,720.190002,"2016-05-17"
444.149,444.64,440.941,443.498505,2516200,443.498505,"2013-09-17"
777.31,781.68,771.55,780,3881400,780,"2016-04-21"
280.781,286.016,280.28,284.294281,10583400,284.294281,"2007-09-24"
331.827,336.336,329.95,334.944946,5222100,334.944946,"2012-08-27"
520.45,533.16,519.14,532.380005,2748200,532.380005,"2014-10-20"
841.39,841.69,833,839.650024,3287700,839.650024,"2017-03-23"
241.702,245.195,239.875,243.508514,7021100,243.508514,"2008-08-21"
735.95,739.64,730.51,733.190002,1452500,733.190002,"2016-06-10"
293.013,293.604,290.015,290.44043,6249900,290.44043,"2011-03-10"
290.891,295.505,288.433,294.104095,8624700,294.104095,"2010-01-19"
213.213,214.114,211.331,212.282288,4334200,212.282288,"2009-06-29"
317.287,318.063,308.318,317.132141,18067500,317.132141,"2007-11-16"
258.754,261.086,258.123,260.925934,5401700,260.925934,"2007-09-11"
166.947,174.9,166.682,174.474472,8534400,174.474472,"2009-03-23"
286.276,287.528,282.558,284.33432,6445900,284.33432,"2012-01-26"
141.416,142.142,140.125,141.436432,8744400,141.436432,"2005-08-25"
657.47,658.82,645.03,653.200012,2718100,653.200012,"2015-09-22"
764.27,770.34,761.2,767.130005,1812900,767.130005,"2015-12-22"
296.201,297.798,283.373,283.48349,13918000,283.48349,"2008-01-25"
997.89,1007.4,995.45,1003.880005,1378900,1003.880005,"2017-06-05"
518.65,527.35,514.28,526.619995,2261200,526.619995,"2014-05-09"
157.633,159.364,156.847,157.127121,13732400,157.127121,"2005-09-27"
270.536,272.287,270.12,270.650665,5101000,270.650665,"2010-02-19"
259.93,263.153,258.804,263.153168,8129400,263.153168,"2007-08-08"
257.563,260.105,255.906,256.997009,4630100,256.997009,"2010-09-23"
282.603,284.279,280.15,280.810822,6590600,280.810822,"2011-03-18"
149.91,153.529,149.104,151.461456,30901400,151.461456,"2005-09-15"
