"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
286.181,286.612,284.459,285.775787,6109600,285.775787,"2012-06-01"
293.949,298.599,293.819,297.782776,4788000,297.782776,"2010-11-24"
531.547,534.535,530.531,532.087097,2244900,532.087097,"2013-11-27"
264.74,269.434,263.879,264.7948,7681700,264.7948,"2010-04-27"
402.903,406.787,401.136,404.299286,3672900,404.299286,"2013-03-18"
279.68,290.135,277.347,287.532532,18782900,287.532532,"2008-01-24"
306.346,309.459,305.611,306.041046,5211700,306.041046,"2011-11-16"
283.949,284.329,278.954,280.630646,3160000,280.630646,"2012-06-25"
294.094,294.239,288.914,289.404419,3513400,289.404419,"2012-06-07"
547.93,552.79,543.8,544.51001,1822000,544.51001,"2014-11-18"
542.08,543.92,528.42,540.72998,3836000,540.72998,"2014-10-15"
683.73,690.04,678.9,680.409973,1564600,680.409973,"2015-10-14"
793.05,798.52,790.32,795.820007,766500,795.820007,"2016-08-29"
404.204,404.274,398.689,401.111115,4970400,401.111115,"2013-04-26"
299.6,300.485,298.619,299.179169,5613100,299.179169,"2009-12-16"
258.118,258.959,254.254,254.55455,7260100,254.55455,"2007-08-14"
367.668,367.813,338.929,347.267273,32991300,347.267273,"2007-11-08"
449.645,452.518,448.258,452.007019,8681900,452.007019,"2013-09-20"
807.21,811.36,804.03,805.960022,929800,805.960022,"2016-08-15"
317.232,319.244,310.926,311.836823,6700800,311.836823,"2012-05-17"
321.066,321.822,317.918,321.521515,3147600,321.521515,"2011-12-29"
275.761,277.558,272.352,274.419434,6426500,274.419434,"2009-10-27"
761.9,770.5,759,764.460022,1718800,764.460022,"2016-12-02"
573,585.25,572.1,580.039978,1436200,580.039978,"2014-07-10"
243.689,243.689,239.319,241.266266,4054100,241.266266,"2010-06-23"
712.5,713.37,707.33,708.440002,1931000,708.440002,"2016-05-03"
804.08,810.25,802.78,810.059998,1470300,810.059998,"2016-09-28"
150.14,153.438,144.87,145.590591,12929600,145.590591,"2009-03-09"
208.729,212.573,208.098,211.641647,20149800,211.641647,"2005-11-23"
299.51,301.652,296.947,299.634644,7553000,299.634644,"2011-10-27"
