"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
216.101,217.082,214.399,214.714722,5724600,214.714722,"2009-06-11"
236.757,237.307,231.236,234.139145,9084900,234.139145,"2008-04-08"
294.044,294.96,292.082,294.80481,3558400,294.80481,"2009-12-09"
252.953,253.123,248.273,250.360367,6632300,250.360367,"2010-08-06"
780.06,781,766.72,772.98999,1831300,772.98999,"2015-12-07"
205.205,209.555,204.94,207.552551,14199100,207.552551,"2006-09-18"
154.655,157.923,153.238,155.996002,20579200,155.996002,"2005-09-13"
205.08,205.49,199.069,201.72673,17056500,201.72673,"2006-07-18"
560.561,560.701,557.027,559.759766,3136200,559.759766,"2013-12-27"
556.93,563.75,551.32,561.640015,1842800,561.640015,"2015-03-16"
390.455,393.068,390.375,391.821808,2394000,391.821808,"2013-02-13"
260.365,262.262,257.447,257.777771,5441700,257.777771,"2011-09-30"
505.26,508.473,504.505,505.800812,2222900,505.800812,"2013-11-11"
304.329,304.71,297.217,302.782776,6342400,302.782776,"2012-03-06"
268.769,272.272,268.509,269.399414,5574800,269.399414,"2011-07-13"
278.333,283.709,277.417,279.029022,8001500,279.029022,"2010-03-22"
89.725,94.8,89.665,94.714714,24591100,94.714714,"2005-01-26"
442.192,446.517,440.641,441.07608,4510400,441.07608,"2013-05-28"
721.3,742.33,718.64,742.169983,3005600,742.169983,"2016-03-01"
414.88,420.495,414.865,419.719727,8080100,419.719727,"2013-03-05"
285.676,290.45,284.95,290.280273,7227700,290.280273,"2012-01-27"
183.759,184.66,182.112,182.927933,12939400,182.927933,"2006-02-22"
186.381,192.082,181.181,181.556549,11552400,181.556549,"2008-10-21"
431.687,435.16,428.994,430.280273,4209300,430.280273,"2013-06-05"
257.262,258.884,256.026,257.412415,8701800,257.412415,"2007-06-19"
852.54,857.39,851.25,853.98999,936200,853.98999,"2017-04-18"
188.839,190.225,186.932,188.888885,12955600,188.888885,"2006-02-24"
936.05,950.2,935.21,948.450012,1824800,948.450012,"2017-05-03"
508.108,512.227,507.002,508.007996,2315000,508.007996,"2013-10-28"
547.05,553.27,546.3,548.640015,1466300,548.640015,"2015-04-13"
