"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
267.302,269.164,264.109,267.492493,5343600,267.492493,"2010-02-10"
867.94,869.88,861.3,868.390015,1332900,868.390015,"2017-03-15"
827.07,829.41,823.14,826.01001,1197400,826.01001,"2017-01-10"
560.51,565.84,559,561.390015,1681100,561.390015,"2015-04-29"
222.848,227.312,222.222,224.074081,14858300,224.074081,"2008-03-05"
550.41,561.17,550.08,557.460022,3909200,557.460022,"2015-04-23"
510.84,521.85,509.59,520.390015,2317800,520.390015,"2015-01-21"
312.683,312.733,309.454,310.01001,2846700,310.01001,"2009-12-29"
234.6,237.382,230.02,232.437439,8620500,232.437439,"2008-09-03"
257.117,257.753,254.755,255.760757,6303400,255.760757,"2007-08-02"
456.957,460.866,454.715,460.580566,5163200,460.580566,"2013-07-11"
791.98,792.89,786.33,791.400024,1303500,791.400024,"2016-09-01"
263.213,263.674,260.956,263.128143,6113800,263.128143,"2011-04-20"
365.035,371.106,364.204,369.35434,5521400,369.35434,"2013-01-04"
286.687,289.434,284.294,285.280273,5626500,285.280273,"2011-03-14"
581.83,589.31,581.57,587.809998,1143700,587.809998,"2014-09-29"
215.155,216.642,213.338,215.300293,6300600,215.300293,"2009-07-20"
270.27,272.487,269.039,271.601593,4081700,271.601593,"2011-05-10"
327.047,328.624,322.472,324.529541,3844700,324.529541,"2012-03-29"
268.018,272.763,267.548,271.551544,5915600,271.551544,"2011-09-15"
337.738,338.554,325.455,337.122131,17791100,337.122131,"2007-11-27"
376.301,377.813,372.422,372.747742,4803500,372.747742,"2012-10-12"
135.06,140.821,132.803,139.854858,11797700,139.854858,"2008-12-03"
151.201,155.33,151.051,155.105103,25217500,155.105103,"2005-07-19"
270.27,272.322,269.525,272.322327,8448500,272.322327,"2011-04-29"
282.918,283.979,280.29,281.626617,5387000,281.626617,"2010-03-26"
278.799,279.434,271.271,274.77478,10991500,274.77478,"2010-03-23"
245.185,247.162,243.473,245.915909,6229700,245.915909,"2010-07-14"
543.82,547.55,539.55,542.650024,1453300,542.650024,"2015-02-18"
565.766,568.068,556.982,557.812805,3880700,557.812805,"2014-03-31"
