"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
531.55,539.4,531,538.650024,1420300,538.650024,"2015-02-24"
242.242,243.093,237.953,238.988983,6552600,238.988983,"2010-07-21"
250.751,252.503,243.073,244.289291,12724200,244.289291,"2007-01-25"
271.772,274.645,270.4,271.551544,7452100,271.551544,"2007-07-09"
778.55,778.6,753.36,764.330017,2867100,764.330017,"2016-12-01"
201.246,203.038,197.698,198.788788,4563400,198.788788,"2009-05-20"
548.68,555.29,546.58,554.25,1742200,554.25,"2015-05-27"
246.336,253.754,245.771,253.413406,7617300,253.413406,"2010-08-04"
305.115,307.723,304.78,305.815826,3732200,305.815826,"2012-05-03"
206.411,206.632,202.212,203.283279,14037700,203.283279,"2006-04-07"
285.17,285.435,279.57,282.832825,6441900,282.832825,"2012-06-12"
188.178,188.939,179.124,179.434433,14193100,179.434433,"2009-02-10"
247.508,248.488,243.959,244.159164,11852100,244.159164,"2007-01-18"
340.34,343.594,339.91,340.700714,3412900,340.700714,"2012-09-05"
152.162,152.402,150.085,150.250244,15144400,150.250244,"2005-09-16"
166.547,178.428,154.875,176.686691,32446900,176.686691,"2008-10-16"
576.05,578.31,569.43,571.809998,1163000,571.809998,"2014-08-07"
397.798,402.778,395.951,400.290283,4048100,400.290283,"2013-02-27"
166.657,170.571,163.358,167.197205,12837500,167.197205,"2009-01-06"
181.276,181.677,177.793,179.019012,8285100,179.019012,"2009-02-13"
202.693,203.929,200.881,202.092087,9289900,202.092087,"2006-09-22"
582,582.78,572.06,572.900024,1879600,572.900024,"2015-03-06"
502.57,508.6,497.26,501.799988,3047900,501.799988,"2015-01-13"
96.822,98.549,96.211,96.851852,16456700,96.851852,"2005-01-05"
537.5,541.41,535.21,536.969971,1623800,536.969971,"2014-12-03"
258.924,261.647,258.884,260.095093,2600500,260.095093,"2011-05-25"
435.761,438.894,433.684,435.100098,3511000,435.100098,"2013-08-21"
795.27,797.1,793.26,796.869995,1349900,796.869995,"2016-09-02"
554.46,558.24,553.62,554.52002,1213300,554.52002,"2015-05-22"
241.276,245.125,237.738,237.972977,6944200,237.972977,"2010-05-26"
