"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
449.149,449.399,445.45,446.97699,2188800,446.97699,"2013-09-12"
849.5,853.59,844,845.099976,1533600,845.099976,"2017-04-06"
92.382,94.034,91.837,93.578575,13087400,93.578575,"2005-04-18"
284.284,286.026,283.193,286.026031,4451300,286.026031,"2012-06-22"
303.804,304.274,300.475,303.358368,4105800,303.358368,"2012-02-23"
297.047,300.17,296.512,298.368378,5663900,298.368378,"2011-11-04"
267.347,268.794,262.513,266.987,17557200,266.987,"2008-07-17"
606.507,606.602,597.803,600.22522,3222500,600.22522,"2014-03-19"
247.247,249.249,245.856,247.40741,8352600,247.40741,"2007-01-30"
159.91,160.636,156.436,157.297302,19769000,157.297302,"2005-09-26"
784.52,800.17,783.5,798.820007,1863700,798.820007,"2016-09-12"
382.983,383.378,375.51,378.873871,5574800,378.873871,"2012-10-02"
280.971,282.342,274.139,274.779785,10728400,274.779785,"2011-08-10"
956.22,956.71,949.84,954.840027,1146000,954.840027,"2017-05-10"
296.957,304.695,296.411,304.469482,6708000,304.469482,"2011-11-07"
559.51,572.85,558.7,571.72998,2089600,571.72998,"2015-07-13"
206.491,207.027,203.569,205.45546,13549800,205.45546,"2006-04-19"
152.237,156.597,149.049,150.260254,12346000,150.260254,"2008-12-11"
238.989,239.239,233.328,233.813812,14399300,233.813812,"2007-02-05"
308.844,309.81,306.802,307.157166,4552000,307.157166,"2010-10-29"
163.388,167.102,162.297,165.905899,9844700,165.905899,"2009-01-27"
157.553,158.494,155.425,156.651657,13527000,156.651657,"2005-10-07"
249.249,249.625,245.495,246.481476,9541800,246.481476,"2007-01-29"
555.1,557.99,552.15,555.289978,1335500,555.289978,"2015-06-03"
371.301,374.139,369.515,372.652649,4075700,372.652649,"2012-10-10"
275.425,279.57,274.93,276.771759,13185800,276.771759,"2007-07-16"
237.137,238.433,236.036,236.636642,6413700,236.636642,"2007-04-17"
159.479,161.226,156.366,157.777771,11567800,157.777771,"2008-12-17"
288.924,289.905,286.542,288.948944,3770000,288.948944,"2011-03-22"
311.141,313.308,309.55,311.746735,3392400,311.746735,"2009-12-28"
