"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
306.076,306.306,302.683,305.185181,3603700,305.185181,"2012-02-14"
690.11,700.2,686.8,694.039978,2509700,694.039978,"2015-08-19"
515.72,527.35,514.46,520.169983,2452000,520.169983,"2014-05-08"
244.79,245.621,242.683,244.729736,3986400,244.729736,"2010-07-26"
808.01,810.97,805.11,807.799988,764100,807.799988,"2016-12-23"
242.252,248.353,242.252,247.072067,5424700,247.072067,"2011-06-28"
288.013,289.354,283.519,285.490479,4675100,285.490479,"2012-06-05"
543.97,549.69,542.5,549.200012,1586800,549.200012,"2015-05-14"
193.879,193.939,189.164,191.391388,11270900,191.391388,"2006-07-27"
255.235,258.383,254.88,256.631622,6498800,256.631622,"2007-08-22"
300.691,304.555,300.591,302.302307,3645100,302.302307,"2012-05-14"
787.82,788.33,777.32,778.01001,1637600,778.01001,"2015-12-31"
589.95,592.4,585.4,587.780029,1286100,587.780029,"2014-10-06"
551.52,558.58,548.56,553.76001,1729100,553.76001,"2014-06-04"
373.749,378.854,373.644,377.217224,3490700,377.217224,"2013-01-29"
348.504,349.159,340.946,347.372375,10071500,347.372375,"2007-12-13"
222.422,229.369,220.721,227.742737,15246100,227.742737,"2008-04-16"
315.335,326.997,311.567,326.926941,13465900,326.926941,"2008-01-09"
90.616,91.732,89.124,89.874878,12933000,89.874878,"2005-03-29"
535.9,545.2,533.45,542.039978,1592200,542.039978,"2015-05-07"
271.021,272.282,264.114,264.684692,4522000,264.684692,"2011-09-28"
236.652,237.863,232.107,232.697693,7931800,232.697693,"2007-02-26"
224.595,227.177,224.044,226.331329,5175400,226.331329,"2009-08-03"
342.618,342.843,337.087,340.86087,3775400,340.86087,"2012-09-04"
272.077,273.524,270.275,272.507507,6611900,272.507507,"2007-07-11"
264.009,264.404,261.456,262.812805,4935200,262.812805,"2011-04-21"
585.93,589.57,585,587.900024,1289100,587.900024,"2014-09-26"
296.847,297.798,291.717,291.871857,5075900,291.871857,"2011-10-25"
545.09,548.79,538.62,539.650024,1994400,539.650024,"2014-12-01"
154.434,154.905,145.46,148.703705,7827300,148.703705,"2008-12-22"
