"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
185.936,187.753,184.52,184.899902,9926600,184.899902,"2006-08-14"
284.134,287.282,283.293,284.934937,3381200,284.934937,"2012-06-27"
293.799,294.8,289.389,291.796783,4320800,291.796783,"2010-11-23"
180.3,187.563,179.935,186.256256,28657100,186.256256,"2005-10-31"
334.089,337.658,333.874,336.771759,3431900,336.771759,"2012-08-16"
851.98,852,846.77,849.47998,949400,849.47998,"2017-03-30"
946,948.03,938.36,940.130005,1427400,940.130005,"2017-09-14"
810.87,813.96,798.26,805.47998,2355900,805.47998,"2016-11-01"
673.99,674.75,660.73,670.150024,2033000,670.150024,"2015-08-06"
198.298,199.625,197.252,199.274277,17373000,199.274277,"2005-11-16"
150.551,153.559,149.505,151.706711,7679300,151.706711,"2008-12-30"
407.157,407.407,404.299,406.616608,2381400,406.616608,"2013-03-26"
338.138,340.566,337.377,339.654663,2850300,339.654663,"2012-08-24"
253.343,258.258,252.372,257.857849,9662100,257.857849,"2007-06-18"
278.003,281.572,277.392,281.53653,5294500,281.53653,"2009-11-09"
710.55,714.88,700.25,714.869995,2125000,714.869995,"2016-06-23"
214.655,220.22,213.333,216.891891,16127400,216.891891,"2008-03-07"
253.749,255.586,253.003,255.330338,7084300,255.330338,"2008-08-15"
408.534,408.644,404.219,404.954956,3980400,404.954956,"2013-04-25"
943.99,945,929.61,929.679993,2287700,929.679993,"2017-06-30"
756.17,758.3,752.04,753.280029,1083800,753.280029,"2016-03-28"
272.518,273.774,265.566,267.412415,6451700,267.412415,"2010-01-28"
309.289,315.365,308.278,314.779785,9660500,314.779785,"2012-05-16"
937.73,950,937.5,947.539978,2004000,947.539978,"2017-09-20"
269.515,270.766,263.068,265.235229,8272700,265.235229,"2010-01-29"
208.048,209.555,206.707,207.237244,6164200,207.237244,"2009-06-18"
980,994.26,978.51,993.640015,1553000,993.640015,"2017-10-06"
803.21,803.29,789.62,792.450012,1735900,792.450012,"2016-12-30"
531.01,540.22,528.65,533.880005,2134400,533.880005,"2015-02-06"
237.237,244.444,237.037,241.641647,6882500,241.641647,"2011-06-27"
