"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
292.397,292.953,283.629,284.534546,5316800,284.534546,"2012-06-11"
603.283,610.691,603.153,606.861877,3345200,606.861877,"2014-02-24"
532.533,537.883,531.537,537.027039,3200700,537.027039,"2013-12-16"
254.755,256.101,248.604,249.024017,10808100,249.024017,"2007-08-15"
531.612,533.844,530.255,530.325317,2383200,530.325317,"2013-11-29"
264.104,265.265,257.803,264.299286,10884100,264.299286,"2008-06-27"
235,239.84,233.594,235.535538,12306200,235.535538,"2007-05-21"
548.65,548.88,544.62,544.650024,1488300,544.650024,"2015-07-09"
333.554,333.834,329.84,330.905914,4404700,330.905914,"2012-11-26"
147.668,148.268,144.755,145.770767,18436700,145.770767,"2005-07-01"
541.69,542.5,531,534.440002,2067400,534.440002,"2014-04-24"
563.53,567.15,561.63,563.77002,1541700,563.77002,"2014-11-03"
519.234,519.274,513.513,515.725708,2645500,515.725708,"2013-10-30"
163.914,163.914,156.857,157.692688,8672300,157.692688,"2009-01-09"
641,645.04,632.9,643.880005,1954600,643.880005,"2015-09-08"
304.68,309.234,303.078,309.199188,4487100,309.199188,"2012-03-13"
255.506,258.514,254.324,256.726715,8847500,256.726715,"2007-08-01"
285.01,288.529,284.284,286.786774,5257100,286.786774,"2010-12-03"
439.189,444.79,439.009,443.993988,3155400,443.993988,"2013-05-14"
294.88,295.195,290.265,291.346344,5713600,291.346344,"2010-11-29"
245.46,249.389,243.559,245.495499,6086900,245.495499,"2008-08-19"
1005.49,1005.5,953.37,970.119995,3647900,970.119995,"2017-06-09"
312.633,315.275,311.361,312.447449,7134400,312.447449,"2010-11-04"
237.102,237.653,232.653,234.524521,8765400,234.524521,"2008-08-27"
304.469,304.795,300.4,300.610596,6015900,300.610596,"2011-03-04"
245.996,247.688,244.985,245.540543,4589800,245.540543,"2008-08-22"
326.341,329.625,325.866,328.208221,5072700,328.208221,"2012-03-28"
947.52,948.96,943.5,945.75,1445800,945.75,"2017-08-07"
239.62,239.805,232.863,233.983978,10841700,233.983978,"2006-11-01"
340.27,340.841,337.838,340.490479,3070900,340.490479,"2012-10-31"
